; Gain Curve for GOES-19 SUVI FM4
; This file contains SUVI FM4 Gain as a function of Temperature (C)
;
; Source: GOES-19 SUVI LUT ("SUVI_CalibrationParameters(FM4A_CDRL79revC_ADR1532)-790407900.0.h5")
; File Generated 24-Jan-2025, by cb
;-------------------------------------------------------
; Temperature [C]	Gain [e- per DN]
  -84.000000000000000   36.290798276275787
  -82.966666666666583   36.324213994994544
  -81.933333333333280   36.358221641336158
  -80.899999999999977   36.392821215300629
  -79.866666666666561   36.428012716887949
  -78.833333333333258   36.463796146098126
  -77.799999999999955   36.500171502931146
  -76.766666666666652   36.537138787387029
  -73.746153846153788   36.648590955361882
  -72.792307692307645   36.684837135921448
  -71.838461538461502   36.721587680846049
  -70.884615384615358   36.758842590135686
  -69.930769230769215   36.796601863790357
  -68.976923076923072   36.834865501810064
  -68.023076923076928   36.873633504194807
  -67.069230769230785   36.912905870944584
  -66.115384615384642   36.952682602059397
  -65.161538461538498   36.992963697539238
  -64.207692307692355   37.033749157384122
  -63.253846153846098   37.075038981594041
  -62.299999999999955   37.116833170168995
  -63.541666666666742   37.062526754388088
  -62.500000000000114   37.108028082749200
  -61.458333333333485   37.154130924449731
  -60.416666666666742   37.200835279489709
  -59.375000000000114   37.248141147869106
  -58.333333333333485   37.296048529587935
  -57.291666666666742   37.344557424646204
  -56.250000000000114   37.393667833043892
  -55.208333333333485   37.443379754781020
  -54.166666666666742   37.493693189857574
  -53.125000000000114   37.544608138273560
  -52.083333333333485   37.596124600028972
  -51.041666666666742   37.648242575123824
  -50.000000000000114   37.700962063558102
  -48.958333333333485   37.754283065331805
  -47.916666666666742   37.808205580444955
  -46.875000000000114   37.862729608897517
  -45.833333333333485   37.917855150689519
  -44.791666666666742   37.973582205820954
  -43.750000000000114   38.029910774291814
  -42.708333333333485   38.086840856102107
  -41.666666666666742   38.144372451251833
  -40.625000000000000   38.202505559740999
  -39.583333333333485   38.261240181569569
  -38.541666666666742   38.320576316737593
  -37.500000000000000   38.380513965245044
  -36.458333333333485   38.441053127091919
  -35.416666666666742   38.502193802278228
  -34.375000000000000   38.563935990803969
  -33.333333333333485   38.626279692669137
  -32.291666666666742   38.689224907873744
  -31.250000000000000   38.752771636417776
  -30.208333333333485   38.816919878301235
  -29.166666666666742   38.881669633524126
  -28.125000000000000   38.947020902086464
  -27.083333333333485   39.012973683988207
  -26.041666666666742   39.079527979229397
  -25.400000000000091   39.120824815129374
  -24.341666666666697   39.189436466480274
  -23.283333333333303   39.258669033584873
