; Effective Area Spectral Curve for GOES-18 SUVI FM3
; This file contains the all the components used in the
; computation of the effective area(lam):
; EA(lam) = PM(lam) * SM(lam) * EntFilt(lam) * FW1(lam) * ...
;           FW2(lam) * QE(lam) * Geom_Area
; Degradation due to contamination is not included
;
; File Generated 24-Jan-2025
;-------------------------------------------------------
; Geometric Area = 19.362316 cm^2
; 
; Wavelength[A]  EA_Thin/Open[cm^2]  EA_Thin/Thin[cm^2]  EA_Thick/Open[cm^2]
          10.0        5.577994e-18        3.075265e-18         4.715823e-18
          10.1        5.466605e-18        2.983623e-18         4.600462e-18
          10.2        5.355627e-18        2.893342e-18         4.486138e-18
          10.3        5.251457e-18        2.809521e-18         4.379373e-18
          10.4        5.151479e-18        2.729912e-18         4.277431e-18
          10.5        5.055238e-18        2.654057e-18         4.179790e-18
          10.6        5.054533e-18        2.653687e-18         4.179208e-18
          10.7        4.958663e-18        2.578925e-18         4.082415e-18
          10.8        4.770719e-18        2.434252e-18         3.893747e-18
          10.9        4.681087e-18        2.366393e-18         3.804488e-18
          11.0        4.592780e-18        2.300185e-18         3.716937e-18
          11.1        4.591472e-18        2.299530e-18         3.715878e-18
          11.2        4.503704e-18        2.234384e-18         3.629278e-18
          11.3        4.331535e-18        2.108095e-18         3.460259e-18
          11.4        4.241534e-18        2.043231e-18         3.372629e-18
          11.5        4.150205e-18        1.978107e-18         3.284118e-18
          11.6        4.054405e-18        1.910536e-18         3.191705e-18
          11.7        3.959518e-18        1.844384e-18         3.100667e-18
          11.8        3.865571e-18        1.779650e-18         3.011019e-18
          11.9        3.772806e-18        1.716487e-18         2.922966e-18
          12.0        3.681578e-18        1.655111e-18         2.836860e-18
          12.1        3.598358e-18        1.599798e-18         2.758757e-18
          12.2        3.516822e-18        1.546210e-18         2.682622e-18
          12.3        3.437264e-18        1.494512e-18         2.608743e-18
          12.4        3.358774e-18        1.444077e-18         2.536216e-18
          12.5        3.281331e-18        1.394876e-18         2.465018e-18
