; Effective Area Spectral Curve for GOES-18 SUVI FM3
; This file contains the all the components used in the
; computation of the effective area(lam):
; EA(lam) = PM(lam) * SM(lam) * EntFilt(lam) * FW1(lam) * ...
;           FW2(lam) * QE(lam) * Geom_Area
; Degradation due to contamination is not included
;
; File Generated 24-Jan-2025
;-------------------------------------------------------
; Geometric Area = 19.362316 cm^2
; 
; Wavelength[A]  EA_Thin/Open[cm^2]  EA_Thin/Thin[cm^2]  EA_Thick/Open[cm^2]
          10.0        1.101341e-17        8.518382e-18         1.081886e-17
          10.1        1.099609e-17        8.497958e-18         1.079655e-17
          10.2        1.097746e-17        8.476336e-18         1.077277e-17
          10.3        1.095813e-17        8.454167e-18         1.074831e-17
          10.4        1.093785e-17        8.431124e-18         1.072283e-17
          10.5        1.091679e-17        8.407384e-18         1.069649e-17
          10.6        1.091526e-17        8.406212e-18         1.069500e-17
          10.7        1.089300e-17        8.381426e-18         1.066740e-17
          10.8        1.084948e-17        8.332509e-18         1.061304e-17
          10.9        1.082544e-17        8.306003e-18         1.058344e-17
          11.0        1.080126e-17        8.279483e-18         1.055375e-17
          11.1        1.079819e-17        8.277125e-18         1.055074e-17
          11.2        1.077318e-17        8.249839e-18         1.052015e-17
          11.3        1.072529e-17        8.196657e-18         1.046082e-17
          11.4        1.069868e-17        8.167842e-18         1.042844e-17
          11.5        1.067159e-17        8.138608e-18         1.039550e-17
          11.6        1.064393e-17        8.108838e-18         1.036195e-17
          11.7        1.061613e-17        8.079018e-18         1.032830e-17
          11.8        1.058752e-17        8.048342e-18         1.029367e-17
          11.9        1.055914e-17        8.018014e-18         1.025941e-17
          12.0        1.053032e-17        7.987254e-18         1.022465e-17
          12.1        1.050183e-17        7.956948e-18         1.019036e-17
          12.2        1.047257e-17        7.925837e-18         1.015515e-17
          12.3        1.044252e-17        7.893910e-18         1.011900e-17
          12.4        1.041204e-17        7.861564e-18         1.008237e-17
          12.5        1.038130e-17        7.829002e-18         1.004543e-17
          12.6        1.035006e-17        7.795923e-18         1.000794e-17
          12.7        1.031855e-17        7.762629e-18         9.970129e-18
          12.8        1.028665e-17        7.728953e-18         9.931888e-18
          12.9        1.025431e-17        7.694863e-18         9.893160e-18
          13.0        1.022160e-17        7.660416e-18         9.854030e-18
          13.1        1.021587e-17        7.656119e-18         9.848502e-18
          13.2        1.018297e-17        7.621554e-18         9.809135e-18
          13.3        1.012161e-17        7.555439e-18         9.734511e-18
          13.4        1.008789e-17        7.520136e-18         9.694296e-18
          13.5        1.005363e-17        7.484318e-18         9.653418e-18
          13.6        1.004767e-17        7.479883e-18         9.647698e-18
          13.7        1.001354e-17        7.444250e-18         9.606997e-18
          13.8        9.949912e-18        7.376091e-18         9.529802e-18
          13.9        9.914970e-18        7.339675e-18         9.488190e-18
          14.0        9.879866e-18        7.303111e-18         9.446381e-18
          14.1        9.844155e-18        7.265922e-18         9.403853e-18
          14.2        9.808421e-18        7.228811e-18         9.361364e-18
          14.3        9.772390e-18        7.191421e-18         9.318555e-18
          14.4        9.735958e-18        7.153678e-18         9.275329e-18
          14.5        9.699279e-18        7.115735e-18         9.231834e-18
          14.6        9.662351e-18        7.077592e-18         9.188070e-18
          14.7        9.625032e-18        7.039112e-18         9.143903e-18
          14.8        9.587660e-18        7.000625e-18         9.099754e-18
          14.9        9.549728e-18        6.961638e-18         9.054950e-18
          15.0        9.511428e-18        6.922315e-18         9.009772e-18
          15.1        9.473275e-18        6.883233e-18         8.964805e-18
          15.2        9.434390e-18        6.843439e-18         8.919027e-18
          15.3        9.395342e-18        6.803536e-18         8.873075e-18
          15.4        9.356270e-18        6.763712e-18         8.827176e-18
          15.5        9.316697e-18        6.723398e-18         8.780694e-18
          15.6        9.310527e-18        6.718946e-18         8.774879e-18
          15.7        9.271194e-18        6.678888e-18         8.728705e-18
          15.8        9.197777e-18        6.602456e-18         8.641155e-18
          15.9        9.157891e-18        6.562017e-18         8.594415e-18
          16.0        9.117767e-18        6.521395e-18         8.547442e-18
          16.1        9.077427e-18        6.480624e-18         8.500259e-18
          16.2        9.071308e-18        6.476256e-18         8.494529e-18
          16.3        8.996709e-18        6.399286e-18         8.406015e-18
          16.4        8.956002e-18        6.358380e-18         8.358559e-18
          16.5        8.915055e-18        6.317300e-18         8.310876e-18
          16.6        8.873922e-18        6.276103e-18         8.263018e-18
          16.7        8.832505e-18        6.234707e-18         8.214896e-18
          16.8        8.790936e-18        6.193231e-18         8.166634e-18
          16.9        8.749477e-18        6.151958e-18         8.118565e-18
          17.0        8.707468e-18        6.110201e-18         8.069901e-18
          17.1        8.665236e-18        6.068298e-18         8.021039e-18
          17.2        8.623021e-18        6.026508e-18         7.972286e-18
          17.3        8.580377e-18        5.984360e-18         7.923060e-18
          17.4        8.538034e-18        5.942610e-18         7.874211e-18
          17.5        8.496344e-18        5.901633e-18         7.826229e-18
          17.6        8.454343e-18        5.860422e-18         7.777969e-18
          17.7        8.413159e-18        5.820144e-18         7.730724e-18
          17.8        8.372376e-18        5.780412e-18         7.684023e-18
          17.9        8.331682e-18        5.740864e-18         7.637493e-18
          18.0        8.290378e-18        5.700786e-18         7.590328e-18
          18.1        8.248500e-18        5.660262e-18         7.542566e-18
          18.2        8.206661e-18        5.619865e-18         7.494935e-18
          18.3        8.163259e-18        5.577968e-18         7.445483e-18
          18.4        8.156368e-18        5.573259e-18         7.439199e-18
          18.5        8.074802e-18        5.492820e-18         7.344904e-18
          18.6        8.028733e-18        5.448538e-18         7.292543e-18
          18.7        8.021751e-18        5.443800e-18         7.286202e-18
          18.8        7.934324e-18        5.358051e-18         7.185410e-18
          18.9        7.886938e-18        5.312790e-18         7.131750e-18
          19.0        7.839439e-18        5.267543e-18         7.078040e-18
          19.1        7.791798e-18        5.222265e-18         7.024255e-18
          19.2        7.744384e-18        5.177323e-18         6.970805e-18
          19.3        7.697191e-18        5.132725e-18         6.917684e-18
          19.4        7.649806e-18        5.088045e-18         6.864446e-18
          19.5        7.602956e-18        5.044005e-18         6.811895e-18
          19.6        7.556535e-18        5.000504e-18         6.759933e-18
          19.7        7.510063e-18        4.957059e-18         6.707978e-18
          19.8        7.463775e-18        4.913907e-18         6.656315e-18
          19.9        7.417616e-18        4.870992e-18         6.604896e-18
          20.0        7.371718e-18        4.828436e-18         6.553835e-18
          20.1        6.822990e-13        4.457358e-13         6.056419e-13
          20.2        2.703146e-12        1.761319e-12         2.395654e-12
          20.3        6.036859e-12        3.923143e-12         5.341618e-12
          20.4        1.065761e-11        6.907596e-12         9.415052e-12
          20.5        1.653960e-11        1.069121e-11         1.458757e-11
          20.6        2.365676e-11        1.525041e-11         2.083064e-11
          20.7        3.198329e-11        2.056196e-11         2.811599e-11
          20.8        4.149351e-11        2.660293e-11         3.641559e-11
          20.9        5.216174e-11        3.335046e-11         4.570196e-11
          21.0        6.396035e-11        4.077994e-11         5.594460e-11
          21.1        7.686691e-11        4.887166e-11         6.711970e-11
          21.2        9.138224e-11        5.810044e-11         7.979439e-11
          21.3        1.058919e-10        6.694312e-11         9.214590e-11
          21.4        1.226831e-10        7.755828e-11         1.067575e-10
          21.5        1.390411e-10        8.739521e-11         1.205714e-10
          21.6        1.570939e-10        9.845449e-11         1.359853e-10
          21.7        1.761033e-10        1.100452e-10         1.521705e-10
          21.8        1.960439e-10        1.221464e-10         1.691007e-10
          21.9        2.168928e-10        1.347386e-10         1.867518e-10
          22.0        2.386203e-10        1.477966e-10         2.050918e-10
          22.1        2.612001e-10        1.612987e-10         2.240934e-10
          22.2        2.863712e-10        1.768426e-10         2.456886e-10
          22.3        3.088549e-10        1.895877e-10         2.640222e-10
          22.4        3.359460e-10        2.062174e-10         2.871808e-10
          22.5        3.596489e-10        2.194344e-10         3.063227e-10
          22.6        3.861931e-10        2.349208e-10         3.283354e-10
          22.7        4.134507e-10        2.507392e-10         3.508675e-10
          22.8        4.422238e-10        2.673699e-10         3.745942e-10
          22.9        4.919788e-10        3.022517e-10         4.159714e-10
          23.0        5.243830e-10        3.212268e-10         4.425395e-10
          23.1        5.560507e-10        3.396349e-10         4.683846e-10
          23.2        5.883728e-10        3.583236e-10         4.946737e-10
          23.3        6.213263e-10        3.772747e-10         5.213836e-10
          23.4        6.549081e-10        3.964875e-10         5.485141e-10
          23.5        6.890593e-10        4.159118e-10         5.759991e-10
          23.6        7.237861e-10        4.355582e-10         6.038535e-10
          23.7        7.637994e-10        4.596373e-10         6.372365e-10
          23.8        7.948056e-10        4.753807e-10         6.604937e-10
          23.9        8.363599e-10        5.002347e-10         6.950259e-10
          24.0        8.678039e-10        5.158349e-10         7.182791e-10
          24.1        9.049778e-10        5.362480e-10         7.475341e-10
          24.2        9.426031e-10        5.567896e-10         7.770369e-10
          24.3        9.805951e-10        5.773889e-10         8.066958e-10
          24.4        1.019015e-09        5.981064e-10         8.365873e-10
          24.5        1.057804e-09        6.188913e-10         8.666419e-10
          24.6        1.096964e-09        6.397471e-10         8.968684e-10
          24.7        1.144008e-09        6.671831e-10         9.353313e-10
          24.8        1.176237e-09        6.815535e-10         9.576755e-10
          24.9        1.224488e-09        7.095120e-10         9.969611e-10
          25.0        1.256862e-09        7.235768e-10         1.019064e-09
          25.1        6.981037e-10        4.005828e-10         5.648272e-10
          25.2        3.048855e-10        1.743804e-10         2.461631e-10
          25.3        1.227430e-10        6.997243e-11         9.889186e-11
          25.4        5.251998e-11        2.984198e-11         4.222500e-11
          25.5        1.186581e-11        6.719776e-12         9.519431e-12
          25.6        6.447385e-12        3.639152e-12         5.161418e-12
          25.7        2.691756e-12        1.514239e-12         2.150207e-12
          25.8        1.178941e-12        6.609922e-13         9.397212e-13
          25.9        7.577031e-13        4.233773e-13         6.026364e-13
          26.0        4.314347e-13        2.402521e-13         3.423882e-13
          26.1        4.037895e-13        2.240865e-13         3.197412e-13
          26.2        3.799301e-13        2.108455e-13         3.008480e-13
          26.3        3.500178e-13        1.929100e-13         2.759315e-13
          26.4        3.245870e-13        1.788939e-13         2.558835e-13
          26.5        2.958707e-13        1.619339e-13         2.321994e-13
          26.6        2.636397e-13        1.437856e-13         2.064345e-13
          26.7        2.335000e-13        1.268986e-13         1.824184e-13
          26.8        2.085931e-13        1.129588e-13         1.625863e-13
          26.9        1.883042e-13        1.016086e-13         1.464346e-13
          27.0        1.691926e-13        9.096817e-14         1.312675e-13
          27.1        1.581238e-13        8.470888e-14         1.223932e-13
          27.2        1.486163e-13        7.961560e-14         1.150341e-13
          27.3        1.431882e-13        7.615077e-14         1.103135e-13
          27.4        1.459060e-13        7.759614e-14         1.124073e-13
          27.5        1.464122e-13        7.729312e-14         1.122621e-13
          27.6        1.525763e-13        8.024880e-14         1.167088e-13
          27.7        1.587967e-13        8.320874e-14         1.211743e-13
          27.8        1.623999e-13        8.477638e-14         1.236229e-13
          27.9        1.633398e-13        8.494534e-14         1.240358e-13
          28.0        1.642589e-13        8.509857e-14         1.244277e-13
          28.1        1.761700e-13        9.092132e-14         1.331224e-13
          28.2        1.884052e-13        9.687215e-14         1.420245e-13
          28.3        2.851125e-13        1.460456e-13         2.144052e-13
          28.4        5.159456e-13        2.632889e-13         3.870466e-13
          28.5        8.117560e-13        4.126715e-13         6.074669e-13
          28.6        3.413019e-12        1.728582e-12         2.547936e-12
          28.7        7.819281e-12        3.960210e-12         5.837362e-12
          28.8        2.935105e-11        1.475771e-11         2.180957e-11
          28.9        9.520568e-11        4.786943e-11         7.074347e-11
          29.0        1.956289e-10        9.764502e-11         1.446822e-10
          29.1        7.802980e-08        3.880382e-08         5.757211e-08
          29.2        2.941754e-07        1.457512e-07         2.165336e-07
          29.3        2.974598e-07        1.468317e-07         2.184299e-07
          29.4        8.514150e-08        4.187138e-08         6.237167e-08
          29.5        1.630933e-09        7.990648e-10         1.191890e-09
          29.6        8.324739e-10        4.063277e-10         6.068984e-10
          29.7        3.058820e-10        1.493000e-10         2.229972e-10
          29.8        1.247115e-10        6.041201e-11         9.047759e-11
          29.9        1.012186e-10        4.903173e-11         7.343362e-11
          30.0        7.894724e-11        3.795163e-11         5.699520e-11
          30.1        5.767631e-11        2.761971e-11         4.153605e-11
          30.2        3.988091e-11        1.902433e-11         2.864947e-11
          30.3        2.970543e-11        1.411564e-11         2.128671e-11
          30.4        2.494214e-11        1.180604e-11         1.782866e-11
          30.5        2.063095e-11        9.727236e-12         1.471004e-11
          30.6        1.972734e-11        9.264626e-12         1.403021e-11
          30.7        1.885139e-11        8.818493e-12         1.337344e-11
          30.8        1.734647e-11        8.082406e-12         1.227456e-11
          30.9        1.530290e-11        7.101779e-12         1.080077e-11
          31.0        1.340451e-11        6.196080e-12         9.436730e-12
          31.1        1.398571e-11        6.438817e-12         9.820545e-12
          31.2        1.469366e-11        6.764749e-12         1.031766e-11
          31.3        1.579431e-11        7.213040e-12         1.103327e-11
          31.4        1.786361e-11        8.158062e-12         1.247880e-11
          31.5        1.972485e-11        8.934962e-12         1.370709e-11
          31.6        1.679645e-11        7.577353e-12         1.164150e-11
          31.7        1.412692e-11        6.346968e-12         9.765521e-12
          31.8        1.263704e-11        5.654149e-12         8.712455e-12
          31.9        1.214789e-11        5.412822e-12         8.352961e-12
          32.0        1.167194e-11        5.179144e-12         8.004305e-12
          32.1        1.149669e-11        5.080162e-12         7.863063e-12
          32.2        1.132305e-11        4.982441e-12         7.723442e-12
          32.3        1.126412e-11        4.935661e-12         7.662495e-12
          32.4        1.141601e-11        5.002216e-12         7.765819e-12
          32.5        1.136944e-11        4.939830e-12         7.692250e-12
          32.6        1.163443e-11        5.033422e-12         7.849983e-12
          32.7        1.189956e-11        5.126268e-12         8.006947e-12
          32.8        1.232108e-11        5.285149e-12         8.267755e-12
          32.9        1.290503e-11        5.511866e-12         8.635698e-12
          33.0        1.349478e-11        5.738795e-12         9.005218e-12
          33.1        1.453164e-11        6.153161e-12         9.670209e-12
          33.2        1.559377e-11        6.574232e-12         1.034797e-11
          33.3        1.704209e-11        7.153558e-12         1.127734e-11
          33.4        1.891674e-11        7.905802e-12         1.248263e-11
          33.5        2.086725e-11        8.682777e-12         1.373086e-11
          33.6        2.425141e-11        1.004641e-11         1.591227e-11
          33.7        2.785084e-11        1.148665e-11         1.822213e-11
          33.8        3.323135e-11        1.364499e-11         2.168025e-11
          33.9        4.075908e-11        1.666138e-11         2.651507e-11
          34.0        4.896438e-11        1.992622e-11         3.176120e-11
          34.1        6.848468e-11        2.774400e-11         4.429364e-11
          34.2        9.100172e-11        3.669624e-11         5.868200e-11
          34.3        1.400385e-10        5.647020e-11         9.030312e-11
          34.4        2.242097e-10        8.957325e-11         1.437141e-10
          34.5        3.289098e-10        1.307910e-10         2.101926e-10
          34.6        8.839088e-10        3.498326e-10         5.631528e-10
          34.7        1.696608e-09        6.681506e-10         1.077472e-09
          34.8        1.147066e-08        4.494354e-09         7.260721e-09
          34.9        5.185565e-08        2.031772e-08         3.282369e-08
          35.0        1.187177e-07        4.603951e-08         7.464818e-08
          35.1        7.254661e-08        2.798886e-08         4.546388e-08
          35.2        3.802240e-08        1.459315e-08         2.374815e-08
          35.3        1.743324e-08        6.656041e-09         1.085168e-08
          35.4        6.445737e-09        2.448160e-09         3.998733e-09
          35.5        8.489952e-10        3.207614e-10         5.248967e-10
          35.6        5.255348e-10        1.975069e-10         3.238052e-10
          35.7        2.816976e-10        1.053070e-10         1.729714e-10
          35.8        1.615885e-10        6.008577e-11         9.887922e-11
          35.9        1.138852e-10        4.212091e-11         6.944691e-11
          36.0        7.492256e-11        2.756229e-11         4.552936e-11
          36.1        5.799595e-11        2.122036e-11         3.512023e-11
          36.2        4.339372e-11        1.579161e-11         2.618556e-11
          36.3        3.493373e-11        1.264389e-11         2.100632e-11
          36.4        3.111930e-11        1.120191e-11         1.864660e-11
          36.5        2.756487e-11        9.868223e-12         1.645829e-11
          36.6        2.582955e-11        9.196020e-12         1.536711e-11
          36.7        2.416792e-11        8.556820e-12         1.432701e-11
          36.8        2.250783e-11        7.969054e-12         1.334289e-11
          36.9        2.012733e-11        7.047337e-12         1.184608e-11
          37.0        1.813072e-11        6.312785e-12         1.063230e-11
          37.1        1.837080e-11        6.360463e-12         1.073393e-11
          37.2        1.860743e-11        6.406129e-12         1.083252e-11
          37.3        1.846845e-11        6.322337e-12         1.071224e-11
          37.4        1.817640e-11        6.222359e-12         1.054284e-11
          37.5        1.747227e-11        5.913374e-12         1.005975e-11
          37.6        1.759319e-11        5.920109e-12         1.009169e-11
          37.7        1.771186e-11        5.925874e-12         1.012200e-11
          37.8        1.794765e-11        5.970041e-12         1.021831e-11
          37.9        1.830230e-11        6.052808e-12         1.038121e-11
          38.0        1.865269e-11        6.132761e-12         1.054000e-11
          38.1        1.876049e-11        6.132124e-12         1.056073e-11
          38.2        1.886576e-11        6.130491e-12         1.057977e-11
          38.3        1.921271e-11        6.206450e-12         1.073319e-11
          38.4        1.980407e-11        6.359656e-12         1.102113e-11
          38.5        2.039362e-11        6.510086e-12         1.130554e-11
          38.6        2.063905e-11        6.549193e-12         1.139740e-11
          38.7        2.087959e-11        6.585854e-12         1.148551e-11
          38.8        2.123485e-11        6.657698e-12         1.163546e-11
          38.9        2.170485e-11        6.764013e-12         1.184650e-11
          39.0        2.217093e-11        6.867472e-12         1.205341e-11
          39.1        2.293085e-11        7.059701e-12         1.241744e-11
          39.2        2.368963e-11        7.248798e-12         1.277759e-11
          39.3        2.449415e-11        7.494973e-12         1.321153e-11
          39.4        2.442120e-11        7.381403e-12         1.306783e-11
          39.5        2.464873e-11        7.404225e-12         1.313679e-11
          39.6        2.605508e-11        7.778191e-12         1.383052e-11
