; Effective Area Spectral Curve for GOES-18 SUVI FM3
; This file contains the all the components used in the
; computation of the effective area(lam):
; EA(lam) = PM(lam) * SM(lam) * EntFilt(lam) * FW1(lam) * ...
;           FW2(lam) * QE(lam) * Geom_Area
; Degradation due to contamination is not included
;
; File Generated 24-Jan-2025
;-------------------------------------------------------
; Geometric Area = 19.362316 cm^2
; 
; Wavelength[A]  EA_Thin/Open[cm^2]  EA_Thin/Thin[cm^2]  EA_Thick/Open[cm^2]
          10.0        1.101008e-17        8.515807e-18         1.081559e-17
          10.1        1.099267e-17        8.495318e-18         1.079320e-17
          10.2        1.097396e-17        8.473629e-18         1.076933e-17
          10.3        1.095454e-17        8.451395e-18         1.074478e-17
          10.4        1.093417e-17        8.428285e-18         1.071921e-17
          10.5        1.091301e-17        8.404476e-18         1.069279e-17
          10.6        1.091149e-17        8.403305e-18         1.069130e-17
          10.7        1.088913e-17        8.378450e-18         1.066361e-17
          10.8        1.084543e-17        8.329395e-18         1.060907e-17
          10.9        1.082128e-17        8.302818e-18         1.057938e-17
          11.0        1.079702e-17        8.276227e-18         1.054960e-17
          11.1        1.079394e-17        8.273870e-18         1.054660e-17
          11.2        1.076883e-17        8.246513e-18         1.051591e-17
          11.3        1.072074e-17        8.193186e-18         1.045639e-17
          11.4        1.069404e-17        8.164298e-18         1.042391e-17
          11.5        1.066684e-17        8.134990e-18         1.039088e-17
          11.6        1.063908e-17        8.105145e-18         1.035723e-17
          11.7        1.061118e-17        8.075251e-18         1.032348e-17
          11.8        1.058247e-17        8.044500e-18         1.028876e-17
          11.9        1.055398e-17        8.014098e-18         1.025440e-17
          12.0        1.052506e-17        7.983263e-18         1.021954e-17
          12.1        1.049646e-17        7.952884e-18         1.018516e-17
          12.2        1.046711e-17        7.921699e-18         1.014985e-17
          12.3        1.043694e-17        7.889696e-18         1.011360e-17
          12.4        1.040636e-17        7.857273e-18         1.007687e-17
          12.5        1.037551e-17        7.824635e-18         1.003983e-17
          12.6        1.034416e-17        7.791478e-18         1.000223e-17
          12.7        1.031254e-17        7.758106e-18         9.964320e-18
          12.8        1.028053e-17        7.724353e-18         9.925976e-18
          12.9        1.024807e-17        7.690183e-18         9.887143e-18
          13.0        1.021525e-17        7.655658e-18         9.847909e-18
          13.1        1.020952e-17        7.651363e-18         9.842384e-18
          13.2        1.017651e-17        7.616719e-18         9.802913e-18
          13.3        1.011492e-17        7.550442e-18         9.728072e-18
          13.4        1.008108e-17        7.515060e-18         9.687753e-18
          13.5        1.004670e-17        7.479162e-18         9.646767e-18
          13.6        1.004075e-17        7.474730e-18         9.641051e-18
          13.7        1.000650e-17        7.439017e-18         9.600244e-18
          13.8        9.942633e-18        7.370694e-18         9.522830e-18
          13.9        9.907571e-18        7.334199e-18         9.481110e-18
          14.0        9.872348e-18        7.297554e-18         9.439193e-18
          14.1        9.836515e-18        7.260283e-18         9.396555e-18
          14.2        9.800661e-18        7.223092e-18         9.353958e-18
          14.3        9.764509e-18        7.185621e-18         9.311040e-18
          14.4        9.727956e-18        7.147798e-18         9.267705e-18
          14.5        9.691155e-18        7.109774e-18         9.224101e-18
          14.6        9.654104e-18        7.071551e-18         9.180227e-18
          14.7        9.616662e-18        7.032990e-18         9.135951e-18
          14.8        9.579168e-18        6.994424e-18         9.091694e-18
          14.9        9.541112e-18        6.955357e-18         9.046780e-18
          15.0        9.502689e-18        6.915954e-18         9.001493e-18
          15.1        9.464412e-18        6.876793e-18         8.956418e-18
          15.2        9.425402e-18        6.836920e-18         8.910530e-18
          15.3        9.386229e-18        6.796937e-18         8.864469e-18
          15.4        9.347034e-18        6.757035e-18         8.818463e-18
          15.5        9.307336e-18        6.716643e-18         8.771871e-18
          15.6        9.301172e-18        6.712195e-18         8.766062e-18
          15.7        9.261714e-18        6.672059e-18         8.719781e-18
          15.8        9.188041e-18        6.595467e-18         8.632007e-18
          15.9        9.148029e-18        6.554951e-18         8.585160e-18
          16.0        9.107780e-18        6.514252e-18         8.538081e-18
          16.1        9.067315e-18        6.473405e-18         8.490790e-18
          16.2        9.061203e-18        6.469041e-18         8.485067e-18
          16.3        8.986349e-18        6.391917e-18         8.396335e-18
          16.4        8.945518e-18        6.350937e-18         8.348775e-18
          16.5        8.904447e-18        6.309783e-18         8.300987e-18
          16.6        8.863190e-18        6.268513e-18         8.253025e-18
          16.7        8.821649e-18        6.227044e-18         8.204799e-18
          16.8        8.779956e-18        6.185496e-18         8.156433e-18
          16.9        8.738375e-18        6.144152e-18         8.108263e-18
          17.0        8.696242e-18        6.102323e-18         8.059497e-18
          17.1        8.653887e-18        6.060350e-18         8.010533e-18
          17.2        8.611550e-18        6.018490e-18         7.961681e-18
          17.3        8.568782e-18        5.976273e-18         7.912354e-18
          17.4        8.526318e-18        5.934456e-18         7.863405e-18
          17.5        8.484510e-18        5.893412e-18         7.815328e-18
          17.6        8.442391e-18        5.852137e-18         7.766973e-18
          17.7        8.401092e-18        5.811797e-18         7.719636e-18
          17.8        8.360198e-18        5.772004e-18         7.672846e-18
          17.9        8.319393e-18        5.732397e-18         7.626228e-18
          18.0        8.277978e-18        5.692260e-18         7.578976e-18
          18.1        8.235989e-18        5.651676e-18         7.531126e-18
          18.2        8.194040e-18        5.611222e-18         7.483409e-18
          18.3        8.150522e-18        5.569264e-18         7.433866e-18
          18.4        8.143642e-18        5.564563e-18         7.427591e-18
          18.5        8.061833e-18        5.483998e-18         7.333108e-18
          18.6        8.015643e-18        5.439655e-18         7.280654e-18
          18.7        8.008673e-18        5.434925e-18         7.274323e-18
          18.8        7.920989e-18        5.349045e-18         7.173333e-18
          18.9        7.873481e-18        5.303725e-18         7.119582e-18
          19.0        7.825862e-18        5.258420e-18         7.065781e-18
          19.1        7.778101e-18        5.213085e-18         7.011907e-18
          19.2        7.730569e-18        5.168088e-18         6.958370e-18
          19.3        7.683260e-18        5.123435e-18         6.905164e-18
          19.4        7.635760e-18        5.078703e-18         6.851842e-18
          19.5        7.588797e-18        5.034612e-18         6.799209e-18
          19.6        7.542267e-18        4.991062e-18         6.747169e-18
          19.7        7.495686e-18        4.947570e-18         6.695136e-18
          19.8        7.449290e-18        4.904371e-18         6.643397e-18
          19.9        7.403027e-18        4.861411e-18         6.591904e-18
          20.0        7.357025e-18        4.818812e-18         6.540772e-18
          20.1        4.955096e-13        3.237091e-13         4.398385e-13
          20.2        1.961958e-12        1.278375e-12         1.738778e-12
          20.3        4.380639e-12        2.846823e-12         3.876137e-12
          20.4        7.732736e-12        5.011877e-12         6.831187e-12
          20.5        1.199946e-11        7.756463e-12         1.058327e-11
          20.6        1.716183e-11        1.106343e-11         1.511162e-11
          20.7        2.320105e-11        1.491588e-11         2.039566e-11
          20.8        3.009841e-11        1.929714e-11         2.641501e-11
          20.9        3.783522e-11        2.419057e-11         3.314966e-11
          21.0        4.639136e-11        2.957828e-11         4.057742e-11
          21.1        5.575049e-11        3.544593e-11         4.868098e-11
          21.2        6.627769e-11        4.213907e-11         5.787326e-11
          21.3        7.679619e-11        4.854930e-11         6.682716e-11
          21.4        8.897319e-11        5.624740e-11         7.742345e-11
          21.5        1.008300e-10        6.337733e-11         8.743604e-11
          21.6        1.139175e-10        7.139482e-11         9.861050e-11
          21.7        1.276979e-10        7.979715e-11         1.103435e-10
          21.8        1.421526e-10        8.856912e-11         1.226159e-10
          21.9        1.572650e-10        9.769652e-11         1.354104e-10
          22.0        1.730135e-10        1.071611e-10         1.487034e-10
          22.1        1.893788e-10        1.169470e-10         1.624752e-10
          22.2        2.076282e-10        1.282165e-10         1.781320e-10
          22.3        2.239153e-10        1.374484e-10         1.914123e-10
          22.4        2.435555e-10        1.495043e-10         2.082015e-10
          22.5        2.607231e-10        1.590763e-10         2.220649e-10
          22.6        2.799569e-10        1.702975e-10         2.380150e-10
          22.7        2.997065e-10        1.817585e-10         2.543405e-10
          22.8        3.205534e-10        1.938075e-10         2.715309e-10
          22.9        3.566075e-10        2.190851e-10         3.015140e-10
          23.0        3.800828e-10        2.328313e-10         3.207611e-10
          23.1        4.030228e-10        2.461657e-10         3.394829e-10
          23.2        4.264355e-10        2.597026e-10         3.585252e-10
          23.3        4.503042e-10        2.734287e-10         3.778711e-10
          23.4        4.746267e-10        2.873435e-10         3.975205e-10
          23.5        4.993599e-10        3.014104e-10         4.174254e-10
          23.6        5.245086e-10        3.156375e-10         4.375966e-10
          23.7        5.535047e-10        3.330867e-10         4.617880e-10
          23.8        5.759351e-10        3.444722e-10         4.786095e-10
          23.9        6.060458e-10        3.624817e-10         5.036319e-10
          24.0        6.287877e-10        3.737603e-10         5.204461e-10
          24.1        6.557000e-10        3.885375e-10         5.416245e-10
          24.2        6.829374e-10        4.034068e-10         5.629809e-10
          24.3        7.104383e-10        4.183166e-10         5.844487e-10
          24.4        7.382471e-10        4.333110e-10         6.060837e-10
          24.5        7.663216e-10        4.483531e-10         6.278350e-10
          24.6        7.946627e-10        4.634455e-10         6.497093e-10
          24.7        8.287420e-10        4.833205e-10         6.775722e-10
          24.8        8.520282e-10        4.936954e-10         6.937093e-10
          24.9        8.869795e-10        5.139474e-10         7.221662e-10
          25.0        9.103650e-10        5.240982e-10         7.381244e-10
          25.1        5.251936e-08        3.013643e-08         4.249278e-08
          25.2        4.292535e-10        2.455131e-10         3.465772e-10
          25.3        2.463963e-11        1.404638e-11         1.985171e-11
          25.4        5.810119e-12        3.301324e-12         4.671219e-12
          25.5        4.710784e-12        2.667783e-12         3.779260e-12
          25.6        2.873416e-12        1.621866e-12         2.300297e-12
          25.7        1.027976e-12        5.782850e-13         8.211597e-13
          25.8        3.837899e-13        2.151779e-13         3.059148e-13
          25.9        3.328063e-13        1.859602e-13         2.646963e-13
          26.0        4.105268e-13        2.286092e-13         3.257956e-13
          26.1        3.701607e-13        2.054239e-13         2.931121e-13
          26.2        2.266940e-13        1.258058e-13         1.795078e-13
          26.3        1.120434e-13        6.175196e-14         8.832779e-14
          26.4        6.983365e-14        3.848835e-14         5.505236e-14
          26.5        7.093346e-14        3.882280e-14         5.566860e-14
          26.6        9.248114e-14        5.043798e-14         7.241436e-14
          26.7        1.091676e-13        5.932853e-14         8.528552e-14
          26.8        1.014271e-13        5.492552e-14         7.905659e-14
          26.9        7.459356e-14        4.025057e-14         5.800765e-14
          27.0        4.619963e-14        2.483972e-14         3.584384e-14
          27.1        2.697755e-14        1.445221e-14         2.088154e-14
          27.2        1.855654e-14        9.940972e-15         1.436340e-14
          27.3        1.921809e-14        1.022062e-14         1.480578e-14
          27.4        2.940331e-14        1.563735e-14         2.265257e-14
          27.5        5.248759e-14        2.770895e-14         4.024504e-14
          27.6        9.807800e-14        5.158495e-14         7.502190e-14
          27.7        1.825233e-13        9.564132e-14         1.392795e-13
          27.8        3.394570e-13        1.772041e-13         2.584033e-13
          27.9        6.676249e-13        3.472003e-13         5.069761e-13
          28.0        1.393069e-12        7.217159e-13         1.055264e-12
          28.1        3.301191e-12        1.703745e-12         2.494536e-12
          28.2        9.223907e-12        4.742649e-12         6.953208e-12
          28.3        3.261906e-11        1.670874e-11         2.452960e-11
          28.4        1.675708e-10        8.551199e-11         1.257065e-10
          28.5        1.733723e-09        8.813708e-10         1.297409e-09
          28.6        9.900627e-08        5.014343e-08         7.391158e-08
          28.7        6.026253e-08        3.052100e-08         4.498805e-08
          28.8        2.872437e-09        1.444262e-09         2.134391e-09
          28.9        5.929867e-10        2.981538e-10         4.406244e-10
          29.0        2.140095e-10        1.068194e-10         1.582760e-10
          29.1        1.039265e-10        5.168210e-11         7.667923e-11
          29.2        5.947409e-11        2.946683e-11         4.377707e-11
          29.3        3.737466e-11        1.844883e-11         2.744486e-11
          29.4        2.462877e-11        1.211208e-11         1.804217e-11
          29.5        1.729565e-11        8.473889e-12         1.263970e-11
          29.6        1.327626e-11        6.480096e-12         9.678788e-12
          29.7        1.116972e-11        5.451905e-12         8.143064e-12
          29.8        1.043034e-11        5.052606e-12         7.567164e-12
          29.9        1.117205e-11        5.411896e-12         8.105265e-12
          30.0        1.204823e-11        5.791840e-12         8.698100e-12
          30.1        1.164331e-11        5.575683e-12         8.385021e-12
          30.2        1.067666e-11        5.093069e-12         7.669850e-12
          30.3        9.300640e-12        4.419544e-12         6.664776e-12
          30.4        7.903128e-12        3.740844e-12         5.649162e-12
          30.5        6.919640e-12        3.262524e-12         4.933761e-12
          30.6        6.758094e-12        3.173829e-12         4.806397e-12
          30.7        7.332329e-12        3.429990e-12         5.201655e-12
          30.8        8.041916e-12        3.747047e-12         5.690551e-12
          30.9        8.147290e-12        3.781000e-12         5.750349e-12
          31.0        7.451746e-12        3.444484e-12         5.246004e-12
          31.1        7.234465e-12        3.330642e-12         5.079927e-12
          31.2        7.682304e-12        3.536821e-12         5.394393e-12
          31.3        9.760614e-12        4.457535e-12         6.818371e-12
          31.4        1.390486e-11        6.350153e-12         9.713372e-12
          31.5        1.752573e-11        7.938804e-12         1.217889e-11
          31.6        1.370288e-11        6.181757e-12         9.497368e-12
          31.7        1.069079e-11        4.803176e-12         7.390224e-12
          31.8        1.071257e-11        4.793091e-12         7.385654e-12
          31.9        1.294412e-11        5.767603e-12         8.900453e-12
          32.0        1.350488e-11        5.992467e-12         9.261286e-12
          32.1        1.247969e-11        5.514530e-12         8.535376e-12
          32.2        1.312156e-11        5.773832e-12         8.950203e-12
