; Effective Area Spectral Curve for GOES-17 SUVI FM2
; This file contains the all the components used in the
; computation of the effective area(lam):
; EA(lam) = PM(lam) * SM(lam) * EntFilt(lam) * FW1(lam) * ...
;           FW2(lam) * QE(lam) * Geom_Area
; Degradation due to contamination is not included
;
; File Generated 24-Jan-2025
;-------------------------------------------------------
; Geometric Area = 19.362316 cm^2
; 
; Wavelength[A]  EA_Thin/Open[cm^2]  EA_Thin/Thin[cm^2]  EA_Thick/Open[cm^2]
          10.0        1.104352e-17        8.529372e-18         1.085635e-17
          10.1        1.102576e-17        8.508289e-18         1.083381e-17
          10.2        1.100681e-17        8.486079e-18         1.080989e-17
          10.3        1.098726e-17        8.463404e-18         1.078541e-17
          10.4        1.096684e-17        8.439915e-18         1.075999e-17
          10.5        1.094571e-17        8.415782e-18         1.073378e-17
          10.6        1.094449e-17        8.414838e-18         1.073258e-17
          10.7        1.092230e-17        8.389763e-18         1.070525e-17
          10.8        1.087864e-17        8.340029e-18         1.065116e-17
          10.9        1.085478e-17        8.313307e-18         1.062195e-17
          11.0        1.083084e-17        8.286613e-18         1.059269e-17
          11.1        1.082835e-17        8.284708e-18         1.059026e-17
          11.2        1.080366e-17        8.257307e-18         1.056019e-17
          11.3        1.075582e-17        8.203421e-18         1.050132e-17
          11.4        1.072962e-17        8.174537e-18         1.046955e-17
          11.5        1.070297e-17        8.145263e-18         1.043726e-17
          11.6        1.067578e-17        8.115472e-18         1.040438e-17
          11.7        1.064850e-17        8.085660e-18         1.037144e-17
          11.8        1.062041e-17        8.054993e-18         1.033754e-17
          11.9        1.059258e-17        8.024705e-18         1.030404e-17
          12.0        1.056432e-17        7.993989e-18         1.027004e-17
          12.1        1.053642e-17        7.963755e-18         1.023653e-17
          12.2        1.050776e-17        7.932706e-18         1.020211e-17
          12.3        1.047831e-17        7.900844e-18         1.016677e-17
          12.4        1.044845e-17        7.868561e-18         1.013096e-17
          12.5        1.041834e-17        7.836070e-18         1.009484e-17
          12.6        1.038772e-17        7.803056e-18         1.005818e-17
          12.7        1.035684e-17        7.769835e-18         1.002121e-17
          12.8        1.032558e-17        7.736227e-18         9.983807e-18
          12.9        1.029389e-17        7.702209e-18         9.945930e-18
          13.0        1.026183e-17        7.667827e-18         9.907644e-18
          13.1        1.025717e-17        7.664349e-18         9.903149e-18
          13.2        1.022493e-17        7.629851e-18         9.864635e-18
          13.3        1.016379e-17        7.563046e-18         9.790686e-18
          13.4        1.013072e-17        7.527806e-18         9.751322e-18
          13.5        1.009710e-17        7.492037e-18         9.711287e-18
          13.6        1.009223e-17        7.488421e-18         9.706600e-18
          13.7        1.005873e-17        7.452830e-18         9.666729e-18
          13.8        9.995250e-18        7.383905e-18         9.590139e-18
          13.9        9.960904e-18        7.347499e-18         9.549323e-18
          14.0        9.926387e-18        7.310934e-18         9.508301e-18
          14.1        9.891243e-18        7.273722e-18         9.466543e-18
          14.2        9.856098e-18        7.236607e-18         9.424841e-18
          14.3        9.820641e-18        7.199200e-18         9.382805e-18
          14.4        9.784792e-18        7.161446e-18         9.340358e-18
          14.5        9.748696e-18        7.123488e-18         9.297641e-18
          14.6        9.712351e-18        7.085330e-18         9.254655e-18
          14.7        9.675626e-18        7.046840e-18         9.211276e-18
          14.8        9.638839e-18        7.008342e-18         9.167901e-18
          14.9        9.601505e-18        6.969346e-18         9.123884e-18
          15.0        9.563794e-18        6.930005e-18         9.079484e-18
          15.1        9.526236e-18        6.890913e-18         9.035296e-18
          15.2        9.487937e-18        6.851098e-18         8.990289e-18
          15.3        9.449464e-18        6.811165e-18         8.945098e-18
          15.4        9.410984e-18        6.771326e-18         8.899970e-18
