; Effective Area Spectral Curve for GOES-17 SUVI FM2
; This file contains the all the components used in the
; computation of the effective area(lam):
; EA(lam) = PM(lam) * SM(lam) * EntFilt(lam) * FW1(lam) * ...
;           FW2(lam) * QE(lam) * Geom_Area
; Degradation due to contamination is not included
;
; File Generated 24-Jan-2025
;-------------------------------------------------------
; Geometric Area = 19.362316 cm^2
; 
; Wavelength[A]  EA_Thin/Open[cm^2]  EA_Thin/Thin[cm^2]  EA_Thick/Open[cm^2]
          10.0        1.103900e-17        8.525883e-18         1.085191e-17
          10.1        1.102113e-17        8.504713e-18         1.082925e-17
          10.2        1.100206e-17        8.482413e-18         1.080522e-17
          10.3        1.098239e-17        8.459649e-18         1.078062e-17
          10.4        1.096185e-17        8.436069e-18         1.075508e-17
          10.5        1.094059e-17        8.411845e-18         1.072876e-17
          10.6        1.093937e-17        8.410901e-18         1.072756e-17
          10.7        1.091705e-17        8.385734e-18         1.070011e-17
          10.8        1.087314e-17        8.335812e-18         1.064577e-17
          10.9        1.084914e-17        8.308994e-18         1.061644e-17
          11.0        1.082508e-17        8.282204e-18         1.058706e-17
          11.1        1.082259e-17        8.280301e-18         1.058463e-17
          11.2        1.079777e-17        8.252804e-18         1.055443e-17
          11.3        1.074966e-17        8.198721e-18         1.049531e-17
          11.4        1.072332e-17        8.169738e-18         1.046340e-17
          11.5        1.069653e-17        8.140364e-18         1.043098e-17
          11.6        1.066920e-17        8.110472e-18         1.039797e-17
          11.7        1.064178e-17        8.080560e-18         1.036490e-17
          11.8        1.061355e-17        8.049790e-18         1.033087e-17
          11.9        1.058558e-17        8.019402e-18         1.029723e-17
          12.0        1.055718e-17        7.988586e-18         1.026310e-17
          12.1        1.052915e-17        7.958254e-18         1.022946e-17
          12.2        1.050034e-17        7.927103e-18         1.019491e-17
          12.3        1.047075e-17        7.895138e-18         1.015943e-17
          12.4        1.044074e-17        7.862752e-18         1.012348e-17
          12.5        1.041048e-17        7.830156e-18         1.008723e-17
          12.6        1.037971e-17        7.797038e-18         1.005042e-17
          12.7        1.034868e-17        7.763711e-18         1.001331e-17
