; Effective Area Spectral Curve for GOES-18 SUVI FM3
; This file contains the all the components used in the
; computation of the effective area(lam):
; EA(lam) = PM(lam) * SM(lam) * EntFilt(lam) * FW1(lam) * ...
;           FW2(lam) * QE(lam) * Geom_Area
; Degradation due to contamination is not included
;
; File Generated 24-Jan-2025
;-------------------------------------------------------
; Geometric Area = 19.362316 cm^2
; 
; Wavelength[A]  EA_Thin/Open[cm^2]  EA_Thin/Thin[cm^2]  EA_Thick/Open[cm^2]
          10.0        5.602111e-18        3.088561e-18         4.736212e-18
          10.1        5.490888e-18        2.996877e-18         4.620897e-18
          10.2        5.380061e-18        2.906542e-18         4.506604e-18
          10.3        5.276018e-18        2.822661e-18         4.399855e-18
          10.4        5.176148e-18        2.742985e-18         4.297915e-18
          10.5        5.079998e-18        2.667057e-18         4.200263e-18
          10.6        5.079290e-18        2.666685e-18         4.199677e-18
          10.7        4.983499e-18        2.591842e-18         4.102862e-18
          10.8        4.795682e-18        2.446989e-18         3.914122e-18
          10.9        4.706093e-18        2.379034e-18         3.824811e-18
          11.0        4.617816e-18        2.312724e-18         3.737199e-18
          11.1        4.616501e-18        2.312066e-18         3.736134e-18
          11.2        4.528752e-18        2.246811e-18         3.649463e-18
          11.3        4.356601e-18        2.120295e-18         3.480284e-18
          11.4        4.266590e-18        2.055300e-18         3.392551e-18
          11.5        4.175239e-18        1.990038e-18         3.303927e-18
          11.6        4.079405e-18        1.922316e-18         3.211385e-18
          11.7        3.984471e-18        1.856007e-18         3.120208e-18
          11.8        3.890464e-18        1.791110e-18         3.030409e-18
          11.9        3.797627e-18        1.727780e-18         2.942196e-18
          12.0        3.706316e-18        1.666232e-18         2.855922e-18
          12.1        3.623007e-18        1.610757e-18         2.777655e-18
          12.2        3.541373e-18        1.557004e-18         2.701350e-18
          12.3        3.461709e-18        1.505141e-18         2.627295e-18
          12.4        3.383104e-18        1.454537e-18         2.554588e-18
          12.5        3.305537e-18        1.405166e-18         2.483202e-18
          12.6        3.228983e-18        1.356992e-18         2.413121e-18
          12.7        3.153307e-18        1.309920e-18         2.344217e-18
          12.8        3.078738e-18        1.264073e-18         2.276671e-18
          12.9        3.005251e-18        1.219424e-18         2.210473e-18
          13.0        2.932763e-18        1.175899e-18         2.145515e-18
          13.1        2.931117e-18        1.175239e-18         2.144311e-18
          13.2        2.859737e-18        1.132896e-18         2.080688e-18
          13.3        2.719776e-18        1.051068e-18         1.956734e-18
          13.4        2.646864e-18        1.009384e-18         1.892807e-18
          13.5        2.575033e-18        9.688659e-19         1.830215e-18
          13.6        2.573507e-18        9.682918e-19         1.829131e-18
          13.7        2.503038e-18        9.290741e-19         1.768096e-18
          13.8        2.367060e-18        8.546652e-19         1.651183e-18
          13.9        2.300368e-18        8.190454e-19         1.594481e-18
          14.0        2.234804e-18        7.845126e-19         1.539093e-18
          14.1        2.170447e-18        7.510920e-19         1.485077e-18
          14.2        2.107310e-18        7.187766e-19         1.432430e-18
          14.3        2.045450e-18        6.875698e-19         1.381190e-18
          14.4        1.984744e-18        6.573921e-19         1.331245e-18
          14.5        1.925298e-18        6.282757e-19         1.282659e-18
          14.6        1.872259e-18        6.026828e-19         1.239627e-18
          14.7        1.822018e-18        5.787723e-19         1.199127e-18
          14.8        1.772762e-18        5.556398e-19         1.159664e-18
          14.9        1.724607e-18        5.333291e-19         1.121318e-18
