; Effective Area Spectral Curve for GOES-16 SUVI FM1
; This file contains the all the components used in the
; computation of the effective area(lam):
; EA(lam) = PM(lam) * SM(lam) * EntFilt(lam) * FW1(lam) * ...
;           FW2(lam) * QE(lam) * Geom_Area
; Degradation due to contamination is not included
;
; File Generated 24-Jan-2025
;-------------------------------------------------------
; Geometric Area = 19.362316 cm^2
; 
; Wavelength[A]  EA_Thin/Open[cm^2]  EA_Thin/Thin[cm^2]  EA_Thick/Open[cm^2]
          10.0        1.108105e-17        8.563232e-18         1.091225e-17
          10.1        1.106595e-17        8.544291e-18         1.089278e-17
          10.2        1.104920e-17        8.523881e-18         1.087152e-17
          10.3        1.103146e-17        8.502697e-18         1.084929e-17
          10.4        1.101250e-17        8.480427e-18         1.082578e-17
          10.5        1.099251e-17        8.457264e-18         1.080118e-17
          10.6        1.099249e-17        8.457250e-18         1.080116e-17
          10.7        1.097087e-17        8.432709e-18         1.077489e-17
          10.8        1.092713e-17        8.383103e-18         1.072172e-17
          10.9        1.090333e-17        8.356527e-18         1.069308e-17
          11.0        1.087927e-17        8.329827e-18         1.066421e-17
          11.1        1.087686e-17        8.327980e-18         1.066184e-17
          11.2        1.085168e-17        8.300306e-18         1.063181e-17
          11.3        1.080279e-17        8.245817e-18         1.057297e-17
          11.4        1.077579e-17        8.216423e-18         1.054094e-17
          11.5        1.074819e-17        8.186528e-18         1.050826e-17
          11.6        1.071992e-17        8.156013e-18         1.047486e-17
          11.7        1.069143e-17        8.125390e-18         1.044129e-17
          11.8        1.066203e-17        8.093833e-18         1.040666e-17
          11.9        1.063281e-17        8.062595e-18         1.037234e-17
          12.0        1.060309e-17        8.030874e-18         1.033747e-17
          12.1        1.057366e-17        7.999587e-18         1.030300e-17
          12.2        1.054341e-17        7.967446e-18         1.026759e-17
          12.3        1.051230e-17        7.934442e-18         1.023119e-17
          12.4        1.048074e-17        7.900991e-18         1.019429e-17
          12.5        1.044888e-17        7.867299e-18         1.015705e-17
          12.6        1.041648e-17        7.833065e-18         1.011924e-17
          12.7        1.038379e-17        7.798597e-18         1.008109e-17
          12.8        1.035069e-17        7.763730e-18         1.004249e-17
          12.9        1.031711e-17        7.728430e-18         1.000338e-17
          13.0        1.028317e-17        7.692763e-18         9.963870e-18
          13.1        1.027701e-17        7.688159e-18         9.957907e-18
          13.2        1.024284e-17        7.652351e-18         9.918129e-18
          13.3        1.017931e-17        7.584034e-18         9.843107e-18
          13.4        1.014428e-17        7.547471e-18         9.802458e-18
          13.5        1.010868e-17        7.510365e-18         9.761127e-18
          13.6        1.010224e-17        7.505580e-18         9.754908e-18
          13.7        1.006677e-17        7.468666e-18         9.713752e-18
          13.8        1.000092e-17        7.398277e-18         9.636147e-18
          13.9        9.964634e-18        7.360585e-18         9.594095e-18
          14.0        9.928202e-18        7.322755e-18         9.551863e-18
          14.1        9.891152e-18        7.284292e-18         9.508917e-18
          14.2        9.854073e-18        7.245907e-18         9.465996e-18
          14.3        9.816693e-18        7.207244e-18         9.422756e-18
          14.4        9.778908e-18        7.168226e-18         9.379096e-18
          14.5        9.740872e-18        7.129008e-18         9.335169e-18
          14.6        9.702586e-18        7.089592e-18         9.290974e-18
          14.7        9.663904e-18        7.049839e-18         9.246374e-18
          14.8        9.625177e-18        7.010091e-18         9.201791e-18
          14.9        9.585875e-18        6.969832e-18         9.156552e-18
          15.0        9.546205e-18        6.929240e-18         9.110941e-18
          15.1        9.506686e-18        6.888898e-18         9.065537e-18
          15.2        9.466419e-18        6.847835e-18         9.019318e-18
          15.3        9.425989e-18        6.806665e-18         8.972927e-18
          15.4        9.385536e-18        6.765581e-18         8.926581e-18
          15.5        9.344577e-18        6.724007e-18         8.879659e-18
          15.6        9.337984e-18        6.719263e-18         8.873394e-18
          15.7        9.297315e-18        6.677986e-18         8.826821e-18
          15.8        9.221619e-18        6.599394e-18         8.738904e-18
          15.9        9.180391e-18        6.557744e-18         8.691764e-18
          16.0        9.138925e-18        6.515914e-18         8.644389e-18
          16.1        9.097238e-18        6.473936e-18         8.596799e-18
          16.2        9.090703e-18        6.469286e-18         8.590624e-18
          16.3        9.013828e-18        6.390206e-18         8.501727e-18
          16.4        8.971772e-18        6.348108e-18         8.453854e-18
          16.5        8.929476e-18        6.305841e-18         8.405753e-18
          16.6        8.886993e-18        6.263463e-18         8.357476e-18
          16.7        8.844225e-18        6.220888e-18         8.308932e-18
          16.8        8.801305e-18        6.178239e-18         8.260247e-18
          16.9        8.758503e-18        6.135807e-18         8.211753e-18
          17.0        8.715141e-18        6.092887e-18         8.162664e-18
          17.1        8.671561e-18        6.049830e-18         8.113376e-18
          17.2        8.628004e-18        6.006897e-18         8.064194e-18
          17.3        8.584009e-18        5.963605e-18         8.014537e-18
          17.4        8.540326e-18        5.920725e-18         7.965257e-18
          17.5        8.497308e-18        5.878637e-18         7.916831e-18
          17.6        8.453973e-18        5.836318e-18         7.868117e-18
          17.7        8.411471e-18        5.794954e-18         7.820410e-18
          17.8        8.369352e-18        5.754132e-18         7.773213e-18
          17.9        8.327326e-18        5.713504e-18         7.726182e-18
          18.0        8.284680e-18        5.672344e-18         7.678510e-18
          18.1        8.241436e-18        5.630724e-18         7.630222e-18
          18.2        8.198246e-18        5.589251e-18         7.582070e-18
          18.3        8.153465e-18        5.546257e-18         7.532105e-18
          18.4        8.146087e-18        5.541238e-18         7.525289e-18
          18.5        8.062265e-18        5.458942e-18         7.430520e-18
          18.6        8.014804e-18        5.413564e-18         7.377667e-18
          18.7        8.007364e-18        5.408539e-18         7.370819e-18
          18.8        7.917608e-18        5.320901e-18         7.269570e-18
          18.9        7.868839e-18        5.274572e-18         7.215430e-18
          19.0        7.819961e-18        5.228268e-18         7.161237e-18
          19.1        7.770946e-18        5.181944e-18         7.106965e-18
          19.2        7.722169e-18        5.135972e-18         7.053026e-18
          19.3        7.673619e-18        5.090357e-18         6.999411e-18
          19.4        7.624882e-18        5.044673e-18         6.945674e-18
          19.5        7.576695e-18        4.999649e-18         6.892620e-18
          19.6        7.528950e-18        4.955182e-18         6.840149e-18
          19.7        7.481158e-18        4.910781e-18         6.787682e-18
          19.8        7.433556e-18        4.866687e-18         6.735501e-18
          19.9        7.386096e-18        4.822846e-18         6.683561e-18
          20.0        7.338907e-18        4.779380e-18         6.631980e-18
          20.1        3.406544e-17        2.212512e-17         3.074223e-17
          20.2        7.998973e-17        5.181291e-17         7.208819e-17
          20.3        1.447258e-16        9.349112e-17         1.302504e-16
          20.4        2.278860e-16        1.468088e-16         2.048090e-16
          20.5        3.290845e-16        2.114181e-16         2.953465e-16
          20.6        4.479303e-16        2.869688e-16         4.014418e-16
          20.7        5.840378e-16        3.731172e-16         5.226796e-16
          20.8        7.370241e-16        4.695249e-16         6.586481e-16
          20.9        9.065062e-16        5.758545e-16         8.089444e-16
          21.0        1.092067e-15        6.917373e-16         9.731137e-16
          21.1        1.293383e-15        8.168924e-16         1.150819e-15
          21.2        1.519042e-15        9.594175e-16         1.351605e-15
          21.3        1.741588e-15        1.093542e-15         1.545025e-15
          21.4        1.999818e-15        1.255685e-15         1.774111e-15
          21.5        2.248234e-15        1.403326e-15         1.988516e-15
          21.6        2.522446e-15        1.569761e-15         2.227655e-15
          21.7        2.810164e-15        1.743545e-15         2.477963e-15
          21.8        3.111013e-15        1.924374e-15         2.739056e-15
          21.9        3.424655e-15        2.111962e-15         3.010584e-15
