; Gain Curve for GOES-16 SUVI FM1
; This file contains SUVI FM1 Gain as a function of Temperature (C)
;
; Source: GOES-16 SUVI LUT ("SUVI_CalibrationParameters(FM1A_ADR1340_DO_14_00_00)-770770136.0.h5")
; File Generated 24-Jan-2025, by cb
;-------------------------------------------------------
; Temperature [C]	Gain [e- per DN]
  -89.256900000000002   35.413348810000002
  -88.329300000000003   35.458729409999997
  -87.400899999999993   35.504149159999997
  -86.471500000000006   35.549617830000003
  -85.540999999999997   35.595140309999998
  -84.609800000000007   35.640697039999999
  -83.677400000000006   35.686312469999997
  -82.744100000000003   35.731971940000001
  -81.809799999999996   35.777680330000003
  -80.874499999999998   35.823437640000002
  -79.938199999999995   35.869243869999998
  -79.001000000000005   35.915094130000000
  -78.062799999999996   35.960993320000000
  -77.123699999999999   36.006936539999998
  -76.183400000000006   36.052938460000000
  -75.242199999999997   36.098984420000001
  -74.299899999999994   36.145084179999998
  -73.356600000000000   36.191232880000001
  -72.412300000000002   36.237430490000001
  -71.467100000000002   36.283672140000000
  -70.520799999999994   36.329967600000003
  -69.573400000000007   36.376316869999997
  -68.624899999999997   36.422719960000002
  -67.675399999999996   36.469171969999998
  -66.724900000000005   36.515672899999998
  -65.773300000000006   36.562227649999997
  -64.820700000000002   36.608831330000001
  -63.866999999999997   36.655488810000001
  -62.912399999999998   36.702190330000001
  -61.956499999999998   36.748955449999997
  -60.999600000000001   36.795769489999998
  -60.041600000000003   36.842637340000003
  -59.082400000000000   36.889563899999999
  -58.122300000000003   36.936534490000000
  -57.161000000000001   36.983563789999998
  -56.198700000000002   37.030642010000001
  -55.235199999999999   37.077778940000002
  -54.270800000000001   37.124959900000000
  -53.305100000000003   37.172204460000003
  -52.338299999999997   37.219502830000003
  -51.370399999999997   37.266855020000001
  -50.401200000000003   37.314270800000003
  -49.431199999999997   37.361725730000003
  -48.459800000000001   37.409249150000001
  -47.487400000000001   37.456821490000003
  -46.514000000000003   37.504442750000003
  -45.539099999999998   37.552137389999999
  -44.563200000000002   37.599880960000000
  -43.586199999999998   37.647678350000000
  -42.607999999999997   37.695534440000003
  -41.628500000000003   37.743454130000003
  -40.648099999999999   37.791417850000002
  -39.666400000000003   37.839445169999998
  -38.683500000000002   37.887531189999997
  -37.699500000000000   37.935671030000002
  -36.714199999999998   37.983874470000003
  -35.727699999999999   38.032136620000003
  -34.740099999999998   38.080452590000000
  -33.751199999999997   38.128832150000001
  -32.761099999999999   38.177270419999999
  -31.769900000000000   38.225762500000002
