; Effective Area Spectral Curve for GOES-19 SUVI FM4
; This file contains the all the components used in the
; computation of the effective area(lam):
; EA(lam) = PM(lam) * SM(lam) * EntFilt(lam) * FW1(lam) * ...
;           FW2(lam) * QE(lam) * Geom_Area
; Degradation due to contamination is not included
;
; File Generated 24-Jan-2025
;-------------------------------------------------------
; Geometric Area = 19.362316 cm^2
; 
; Wavelength[A]  EA_Thin/Open[cm^2]  EA_Thin/Thin[cm^2]  EA_Thick/Open[cm^2]
          10.0        5.613265e-18        3.090974e-18         4.739913e-18
          10.1        5.502938e-18        2.999728e-18         4.625294e-18
          10.2        5.392835e-18        2.909732e-18         4.511551e-18
          10.3        5.289374e-18        2.826111e-18         4.405234e-18
          10.4        5.189961e-18        2.746628e-18         4.303624e-18
          10.5        5.094159e-18        2.670835e-18         4.206213e-18
          10.6        5.093882e-18        2.670690e-18         4.205984e-18
          10.7        4.998251e-18        2.595881e-18         4.109255e-18
          10.8        4.810312e-18        2.450870e-18         3.920330e-18
          10.9        4.720729e-18        2.382875e-18         3.830987e-18
          11.0        4.632400e-18        2.316499e-18         3.743299e-18
          11.1        4.631174e-18        2.315886e-18         3.742308e-18
          11.2        4.543274e-18        2.250518e-18         3.655484e-18
          11.3        4.370734e-18        2.123739e-18         3.485937e-18
          11.4        4.280481e-18        2.058594e-18         3.397988e-18
          11.5        4.188848e-18        1.993166e-18         3.309120e-18
          11.6        4.092690e-18        1.925260e-18         3.216303e-18
          11.7        3.997408e-18        1.858761e-18         3.124837e-18
          11.8        3.903036e-18        1.793671e-18         3.034742e-18
          11.9        3.809820e-18        1.730147e-18         2.946228e-18
          12.0        3.718122e-18        1.668408e-18         2.859652e-18
          12.1        3.634434e-18        1.612751e-18         2.781094e-18
          12.2        3.552419e-18        1.558821e-18         2.704502e-18
          12.3        3.472373e-18        1.506785e-18         2.630165e-18
          12.4        3.393388e-18        1.456013e-18         2.557180e-18
          12.5        3.315441e-18        1.406479e-18         2.485522e-18
          12.6        3.238511e-18        1.358148e-18         2.415177e-18
          12.7        3.162462e-18        1.310924e-18         2.346013e-18
          12.8        3.087527e-18        1.264932e-18         2.278217e-18
          12.9        3.013675e-18        1.220143e-18         2.211776e-18
          13.0        2.940832e-18        1.176486e-18         2.146586e-18
          13.1        2.938958e-18        1.175736e-18         2.145218e-18
          13.2        2.867229e-18        1.133268e-18         2.081372e-18
          13.3        2.726812e-18        1.051293e-18         1.957154e-18
          13.4        2.653564e-18        1.009501e-18         1.893026e-18
          13.5        2.581403e-18        9.688799e-19         1.830241e-18
          13.6        2.579657e-18        9.682247e-19         1.829004e-18
          13.7        2.508876e-18        9.289151e-19         1.767793e-18
          13.8        2.372509e-18        8.544159e-19         1.650701e-18
          13.9        2.305536e-18        8.187237e-19         1.593855e-18
          14.0        2.239706e-18        7.841265e-19         1.538335e-18
          14.1        2.175093e-18        7.506477e-19         1.484199e-18
          14.2        2.111705e-18        7.182783e-19         1.431436e-18
          14.3        2.049606e-18        6.870230e-19         1.380092e-18
          14.4        1.988666e-18        6.568015e-19         1.330049e-18
          14.5        1.928997e-18        6.276462e-19         1.281374e-18
          14.6        1.875748e-18        6.020174e-19         1.238259e-18
          14.7        1.825304e-18        5.780739e-19         1.197679e-18
          14.8        1.775854e-18        5.549122e-19         1.158146e-18
          14.9        1.727511e-18        5.325752e-19         1.119733e-18
          15.0        1.680089e-18        5.109578e-19         1.082288e-18
          15.1        1.633587e-18        4.900479e-19         1.045793e-18
          15.2        1.588071e-18        4.698614e-19         1.010300e-18
          15.3        1.543496e-18        4.503638e-19         9.757561e-19
          15.4        1.499883e-18        4.315541e-19         9.421709e-19
