; Effective Area Spectral Curve for GOES-18 SUVI FM3
; This file contains the all the components used in the
; computation of the effective area(lam):
; EA(lam) = PM(lam) * SM(lam) * EntFilt(lam) * FW1(lam) * ...
;           FW2(lam) * QE(lam) * Geom_Area
; Degradation due to contamination is not included
;
; File Generated 24-Jan-2025
;-------------------------------------------------------
; Geometric Area = 19.362316 cm^2
; 
; Wavelength[A]  EA_Thin/Open[cm^2]  EA_Thin/Thin[cm^2]  EA_Thick/Open[cm^2]
          10.0        1.100088e-17        8.508690e-18         1.080655e-17
          10.1        1.098323e-17        8.488024e-18         1.078393e-17
          10.2        1.096427e-17        8.466151e-18         1.075982e-17
          10.3        1.094461e-17        8.443734e-18         1.073504e-17
          10.4        1.092399e-17        8.420439e-18         1.070924e-17
          10.5        1.090258e-17        8.396444e-18         1.068257e-17
          10.6        1.090106e-17        8.395274e-18         1.068108e-17
          10.7        1.087845e-17        8.370229e-18         1.065315e-17
          10.8        1.083423e-17        8.320790e-18         1.059812e-17
          10.9        1.080982e-17        8.294018e-18         1.056817e-17
          11.0        1.078528e-17        8.267233e-18         1.053813e-17
          11.1        1.078221e-17        8.264878e-18         1.053513e-17
          11.2        1.075683e-17        8.237325e-18         1.050420e-17
          11.3        1.070820e-17        8.183596e-18         1.044415e-17
          11.4        1.068122e-17        8.154506e-18         1.041141e-17
          11.5        1.065374e-17        8.124994e-18         1.037811e-17
          11.6        1.062569e-17        8.094944e-18         1.034419e-17
          11.7        1.059751e-17        8.064846e-18         1.031018e-17
          11.8        1.056850e-17        8.033886e-18         1.027518e-17
          11.9        1.053974e-17        8.003280e-18         1.024056e-17
          12.0        1.051052e-17        7.972241e-18         1.020543e-17
          12.1        1.048165e-17        7.941661e-18         1.017078e-17
          12.2        1.045200e-17        7.910271e-18         1.013521e-17
          12.3        1.042155e-17        7.878058e-18         1.009868e-17
          12.4        1.039067e-17        7.845424e-18         1.006168e-17
          12.5        1.035952e-17        7.812574e-18         1.002435e-17
          12.6        1.032786e-17        7.779203e-18         9.986475e-18
          12.7        1.029593e-17        7.745616e-18         9.948279e-18
          12.8        1.026362e-17        7.711647e-18         9.909649e-18
