; Effective Area Spectral Curve for GOES-17 SUVI FM2
; This file contains the all the components used in the
; computation of the effective area(lam):
; EA(lam) = PM(lam) * SM(lam) * EntFilt(lam) * FW1(lam) * ...
;           FW2(lam) * QE(lam) * Geom_Area
; Degradation due to contamination is not included
; 
; File Generated 12-Apr-2019 - Updated 19-Jun-2020
;-------------------------------------------------------
; Geometric Area = 19.362316 cm^2
; EA_ThinOpen(131.2A) = 7.420613e-01 > 4.280000e-02
; Wavelength[A]	EA_Thin/Open[cm^2]	EA_Thin/Thin[cm^2]	EA_Thick/Open[cm^2]
20.4	5.2266E-15	6.8819E-16	1.1966E-16
20.5	7.8691E-15	1.0177E-15	1.7871E-16
20.6	1.0926E-14	1.3878E-15	2.4614E-16
20.7	1.4229E-14	1.7748E-15	3.1795E-16
20.8	1.7923E-14	2.1951E-15	3.9720E-16
20.9	2.1873E-14	2.6304E-15	4.8078E-16
21	2.6033E-14	3.0736E-15	5.6750E-16
21.1	3.0101E-14	3.4887E-15	6.5073E-16
21.2	3.4512E-14	3.9263E-15	7.3988E-16
21.3	3.9008E-14	4.3557E-15	8.2929E-16
21.4	4.3555E-14	4.7730E-15	9.1816E-16
21.5	4.8119E-14	5.1746E-15	1.0058E-15
21.6	5.2669E-14	5.5577E-15	1.0916E-15
21.7	5.7176E-14	5.9195E-15	1.1749E-15
21.8	6.1610E-14	6.2575E-15	1.2552E-15
21.9	6.5949E-14	6.5707E-15	1.3320E-15
22	7.0313E-14	6.8713E-15	1.4079E-15
22.1	7.4485E-14	7.1391E-15	1.4784E-15
22.2	7.8591E-14	7.3871E-15	1.5463E-15
22.3	8.2454E-14	7.5998E-15	1.6081E-15
22.4	8.6235E-14	7.7935E-15	1.6671E-15
22.5	8.9932E-14	7.9684E-15	1.7232E-15
22.6	9.3337E-14	8.1074E-15	1.7725E-15
22.7	9.6653E-14	8.2297E-15	1.8191E-15
22.8	9.9799E-14	8.3290E-15	1.8615E-15
22.9	1.1253E-13	9.6296E-15	2.0801E-15
23	1.1639E-13	9.7897E-15	2.1345E-15
23.1	1.2041E-13	9.9740E-15	2.1927E-15
23.2	1.2427E-13	1.0138E-14	2.2471E-15
23.3	1.2813E-13	1.0295E-14	2.3008E-15
23.4	1.3190E-13	1.0442E-14	2.3525E-15
23.5	1.3552E-13	1.0571E-14	2.4007E-15
23.6	1.3914E-13	1.0695E-14	2.4483E-15
23.7	1.4262E-13	1.0800E-14	2.4923E-15
23.8	1.4574E-13	1.0874E-14	2.5295E-15
23.9	1.4887E-13	1.0943E-14	2.5663E-15
24	1.5183E-13	1.0995E-14	2.5994E-15
24.1	1.5463E-13	1.1031E-14	2.6291E-15
24.2	1.5746E-13	1.1066E-14	2.6590E-15
24.3	1.5990E-13	1.1070E-14	2.6816E-15
24.4	1.6239E-13	1.1074E-14	2.7046E-15
24.5	1.6471E-13	1.1064E-14	2.7243E-15
24.6	1.6686E-13	1.1040E-14	2.7407E-15
24.7	1.6883E-13	1.1003E-14	2.7538E-15
24.8	1.7062E-13	1.0952E-14	2.7637E-15
24.9	1.7223E-13	1.0889E-14	2.7704E-15
25	1.7367E-13	1.0813E-14	2.7740E-15
25.1	1.7525E-13	1.0746E-14	2.7797E-15
25.2	1.8140E-13	1.0955E-14	2.8572E-15
25.3	1.8743E-13	1.1146E-14	2.9314E-15
