; Effective Area Spectral Curve for GOES-16 SUVI FM1
; This file contains the all the components used in the
; computation of the effective area(lam):
; EA(lam) = PM(lam) * SM(lam) * EntFilt(lam) * FW1(lam) * ...
;           FW2(lam) * QE(lam) * Geom_Area
; Degradation due to contamination is not included
;
; File Generated 24-Jan-2025
;-------------------------------------------------------
; Geometric Area = 19.362316 cm^2
; 
; Wavelength[A]  EA_Thin/Open[cm^2]  EA_Thin/Thin[cm^2]  EA_Thick/Open[cm^2]
          10.0        1.108500e-17        8.566279e-18         1.091614e-17
          10.1        1.106999e-17        8.547415e-18         1.089676e-17
          10.2        1.105335e-17        8.527084e-18         1.087560e-17
          10.3        1.103572e-17        8.505978e-18         1.085348e-17
          10.4        1.101686e-17        8.483788e-18         1.083007e-17
          10.5        1.099698e-17        8.460706e-18         1.080558e-17
          10.6        1.099696e-17        8.460692e-18         1.080556e-17
          10.7        1.097546e-17        8.436232e-18         1.077939e-17
          10.8        1.093194e-17        8.386791e-18         1.072643e-17
          10.9        1.090825e-17        8.360298e-18         1.069791e-17
          11.0        1.088430e-17        8.333683e-18         1.066914e-17
          11.1        1.088189e-17        8.331834e-18         1.066678e-17
          11.2        1.085683e-17        8.304244e-18         1.063686e-17
          11.3        1.080818e-17        8.249927e-18         1.057824e-17
          11.4        1.078130e-17        8.220620e-18         1.054633e-17
          11.5        1.075381e-17        8.190812e-18         1.051376e-17
          11.6        1.072566e-17        8.160385e-18         1.048048e-17
          11.7        1.069730e-17        8.129849e-18         1.044702e-17
          11.8        1.066802e-17        8.098382e-18         1.041251e-17
          11.9        1.063893e-17        8.067230e-18         1.037831e-17
          12.0        1.060933e-17        8.035598e-18         1.034355e-17
          12.1        1.058002e-17        8.004396e-18         1.030920e-17
          12.2        1.054989e-17        7.972342e-18         1.027390e-17
          12.3        1.051891e-17        7.939428e-18         1.023762e-17
          12.4        1.048747e-17        7.906066e-18         1.020084e-17
          12.5        1.045574e-17        7.872465e-18         1.016372e-17
          12.6        1.042347e-17        7.838322e-18         1.012603e-17
          12.7        1.039091e-17        7.803945e-18         1.008800e-17
          12.8        1.035794e-17        7.769171e-18         1.004953e-17
          12.9        1.032450e-17        7.733963e-18         1.001055e-17
          13.0        1.029069e-17        7.698388e-18         9.971157e-18
          13.1        1.028453e-17        7.693781e-18         9.965189e-18
          13.2        1.025049e-17        7.658066e-18         9.925537e-18
          13.3        1.018724e-17        7.589940e-18         9.850772e-18
          13.4        1.015234e-17        7.553469e-18         9.810248e-18
          13.5        1.011688e-17        7.516457e-18         9.769045e-18
          13.6        1.011044e-17        7.511668e-18         9.762821e-18
          13.7        1.007510e-17        7.474847e-18         9.721791e-18
          13.8        1.000953e-17        7.404650e-18         9.644448e-18
          13.9        9.973388e-18        7.367052e-18         9.602524e-18
          14.0        9.937097e-18        7.329316e-18         9.560421e-18
          14.1        9.900190e-18        7.290948e-18         9.517606e-18
          14.2        9.863253e-18        7.252658e-18         9.474814e-18
          14.3        9.826016e-18        7.214088e-18         9.431704e-18
          14.4        9.788372e-18        7.175164e-18         9.388174e-18
          14.5        9.750481e-18        7.136040e-18         9.344377e-18
          14.6        9.712338e-18        7.096718e-18         9.300312e-18
          14.7        9.673800e-18        7.057058e-18         9.255843e-18
          14.8        9.635216e-18        7.017403e-18         9.211389e-18
          14.9        9.596059e-18        6.977238e-18         9.166281e-18
          15.0        9.556535e-18        6.936738e-18         9.120800e-18
          15.1        9.517160e-18        6.896488e-18         9.075525e-18
          15.2        9.477039e-18        6.855517e-18         9.029436e-18
          15.3        9.436756e-18        6.814439e-18         8.983177e-18
          15.4        9.396447e-18        6.773447e-18         8.936959e-18
          15.5        9.355636e-18        6.731964e-18         8.890167e-18
          15.6        9.349035e-18        6.727214e-18         8.883895e-18
          15.7        9.308511e-18        6.686027e-18         8.837450e-18
          15.8        9.233116e-18        6.607622e-18         8.749800e-18
          15.9        9.192035e-18        6.566061e-18         8.702788e-18
          16.0        9.150715e-18        6.524320e-18         8.655542e-18
          16.1        9.109174e-18        6.482430e-18         8.608079e-18
          16.2        9.102631e-18        6.477774e-18         8.601896e-18
          16.3        9.026055e-18        6.398874e-18         8.513259e-18
          16.4        8.984144e-18        6.356862e-18         8.465512e-18
          16.5        8.941992e-18        6.314680e-18         8.417536e-18
          16.6        8.899655e-18        6.272386e-18         8.369383e-18
          16.7        8.857031e-18        6.229896e-18         8.320963e-18
          16.8        8.814255e-18        6.187330e-18         8.272401e-18
          16.9        8.771596e-18        6.144979e-18         8.224029e-18
          17.0        8.728379e-18        6.102141e-18         8.175062e-18
          17.1        8.684943e-18        6.059166e-18         8.125896e-18
          17.2        8.641527e-18        6.016312e-18         8.076834e-18
          17.3        8.597676e-18        5.973100e-18         8.027297e-18
          17.4        8.554134e-18        5.930297e-18         7.978136e-18
          17.5        8.511254e-18        5.888285e-18         7.929824e-18
          17.6        8.468055e-18        5.846040e-18         7.881224e-18
          17.7        8.425686e-18        5.804747e-18         7.833626e-18
          17.8        8.383696e-18        5.763994e-18         7.786536e-18
          17.9        8.341799e-18        5.723434e-18         7.739609e-18
          18.0        8.299281e-18        5.682341e-18         7.692043e-18
          18.1        8.256166e-18        5.640789e-18         7.643861e-18
          18.2        8.213104e-18        5.599381e-18         7.595812e-18
          18.3        8.168457e-18        5.556455e-18         7.545954e-18
          18.4        8.161065e-18        5.551427e-18         7.539126e-18
          18.5        8.077526e-18        5.469274e-18         7.444584e-18
          18.6        8.030204e-18        5.423967e-18         7.391843e-18
          18.7        8.022750e-18        5.418932e-18         7.384982e-18
          18.8        7.933292e-18        5.331442e-18         7.283971e-18
          18.9        7.884663e-18        5.285179e-18         7.229941e-18
          19.0        7.835925e-18        5.238941e-18         7.175856e-18
          19.1        7.787048e-18        5.192681e-18         7.121691e-18
          19.2        7.738407e-18        5.146772e-18         7.067857e-18
          19.3        7.689991e-18        5.101218e-18         7.014344e-18
          19.4        7.641386e-18        5.055593e-18         6.960708e-18
