; Effective Area Spectral Curve for GOES-17 SUVI FM2
; This file contains the all the components used in the
; computation of the effective area(lam):
; EA(lam) = PM(lam) * SM(lam) * EntFilt(lam) * FW1(lam) * ...
;           FW2(lam) * QE(lam) * Geom_Area
; Degradation due to contamination is not included
;
; File Generated 24-Jan-2025
;-------------------------------------------------------
; Geometric Area = 19.362316 cm^2
; 
; Wavelength[A]  EA_Thin/Open[cm^2]  EA_Thin/Thin[cm^2]  EA_Thick/Open[cm^2]
          10.0        5.614538e-18        3.091675e-18         4.746718e-18
          10.1        5.502801e-18        2.999653e-18         4.630922e-18
          10.2        5.391524e-18        2.909025e-18         4.516207e-18
          10.3        5.287114e-18        2.824904e-18         4.409108e-18
          10.4        5.186937e-18        2.745028e-18         4.306873e-18
          10.5        5.090534e-18        2.668934e-18         4.208974e-18
          10.6        5.089963e-18        2.668635e-18         4.208501e-18
          10.7        4.993984e-18        2.593665e-18         4.111494e-18
          10.8        4.805666e-18        2.448503e-18         3.922270e-18
          10.9        4.715961e-18        2.380469e-18         3.832831e-18
          11.0        4.627593e-18        2.314095e-18         3.745111e-18
          11.1        4.626529e-18        2.313563e-18         3.744250e-18
          11.2        4.538718e-18        2.248261e-18         3.657494e-18
          11.3        4.366193e-18        2.121533e-18         3.487946e-18
          11.4        4.276133e-18        2.056503e-18         3.400139e-18
          11.5        4.184738e-18        1.991210e-18         3.311444e-18
          11.6        4.088847e-18        1.923452e-18         3.218819e-18
          11.7        3.993865e-18        1.857113e-18         3.127564e-18
          11.8        3.899811e-18        1.792189e-18         3.037689e-18
          11.9        3.806930e-18        1.728835e-18         2.949404e-18
          12.0        3.715577e-18        1.667266e-18         2.863058e-18
          12.1        3.632255e-18        1.611785e-18         2.784745e-18
          12.2        3.550608e-18        1.558027e-18         2.708394e-18
          12.3        3.470939e-18        1.506162e-18         2.634300e-18
          12.4        3.392325e-18        1.455557e-18         2.561551e-18
          12.5        3.314749e-18        1.406185e-18         2.490122e-18
          12.6        3.238182e-18        1.358009e-18         2.419996e-18
          12.7        3.162492e-18        1.310936e-18         2.351045e-18
          12.8        3.087904e-18        1.265087e-18         2.283448e-18
          12.9        3.014396e-18        1.220435e-18         2.217200e-18
          13.0        2.941881e-18        1.176905e-18         2.152186e-18
          13.1        2.940546e-18        1.176371e-18         2.151209e-18
          13.2        2.869130e-18        1.134019e-18         2.087523e-18
          13.3        2.728787e-18        1.052055e-18         1.963217e-18
          13.4        2.655808e-18        1.010355e-18         1.899203e-18
          13.5        2.583905e-18        9.698189e-19         1.836521e-18
          13.6        2.582658e-18        9.693508e-19         1.835635e-18
          13.7        2.512103e-18        9.301098e-19         1.774499e-18
          13.8        2.375678e-18        8.555572e-19         1.657195e-18
          13.9        2.308890e-18        8.199148e-19         1.600388e-18
          14.0        2.243225e-18        7.853585e-19         1.544892e-18
          14.1        2.178760e-18        7.519134e-19         1.490766e-18
          14.2        2.115518e-18        7.195751e-19         1.438009e-18
          14.3        2.053548e-18        6.883446e-19         1.386658e-18
          14.4        1.992732e-18        6.581442e-19         1.336603e-18
          14.5        1.933174e-18        6.290054e-19         1.287907e-18
          14.6        1.880052e-18        6.033990e-19         1.244787e-18
          14.7        1.829739e-18        5.794784e-19         1.204208e-18
          14.8        1.780407e-18        5.563348e-19         1.164665e-18
          14.9        1.732178e-18        5.340142e-19         1.126241e-18
          15.0        1.684861e-18        5.124090e-19         1.088776e-18
          15.1        1.638455e-18        4.915081e-19         1.052256e-18
          15.2        1.593027e-18        4.713278e-19         1.016732e-18
          15.3        1.548530e-18        4.518328e-19         9.821507e-19
          15.4        1.504992e-18        4.330241e-19         9.485252e-19
          15.5        1.462363e-18        4.148635e-19         9.158127e-19
          15.6        1.461577e-18        4.146406e-19         9.153206e-19
          15.7        1.419817e-18        3.970960e-19         8.834775e-19
          15.8        1.339906e-18        3.641326e-19         8.230210e-19
          15.9        1.300835e-18        3.484097e-19         7.937999e-19
          16.0        1.262687e-18        3.332807e-19         7.654551e-19
          16.1        1.225416e-18        3.187148e-19         7.379418e-19
          16.2        1.224744e-18        3.185400e-19         7.375371e-19
          16.3        1.155598e-18        2.920192e-19         6.869156e-19
          16.4        1.122402e-18        2.796006e-19         6.628999e-19
          16.5        1.090435e-18        2.678123e-19         6.399167e-19
          16.6        1.059130e-18        2.564306e-19         6.175587e-19
          16.7        1.028599e-18        2.454893e-19         5.958903e-19
          16.8        9.987393e-19        2.349413e-19         5.748377e-19
          16.9        9.695715e-19        2.247863e-19         5.544096e-19
          17.0        9.410846e-19        2.150122e-19         5.345877e-19
          17.1        9.133014e-19        2.056185e-19         5.153822e-19
          17.2        8.861772e-19        1.965821e-19         4.967554e-19
          17.3        8.597048e-19        1.878928e-19         4.786997e-19
          17.4        8.338515e-19        1.795323e-19         4.611858e-19
          17.5        8.086800e-19        1.715141e-19         4.442449e-19
          17.6        7.841229e-19        1.638089e-19         4.278290e-19
          17.7        7.601768e-19        1.564087e-19         4.119292e-19
          17.8        7.368462e-19        1.493093e-19         3.965448e-19
          17.9        7.141279e-19        1.425015e-19         3.816668e-19
          18.0        6.919340e-19        1.359529e-19         3.672352e-19
          18.1        6.703496e-19        1.296832e-19         3.532985e-19
          18.2        6.492794e-19        1.236575e-19         3.397905e-19
          18.3        6.287857e-19        1.178880e-19         3.267440e-19
          18.4        6.283452e-19        1.178054e-19         3.265151e-19
          18.5        5.893132e-19        1.070346e-19         3.018886e-19
          18.6        5.703742e-19        1.019509e-19         2.900924e-19
          18.7        5.699639e-19        1.018775e-19         2.898837e-19
          18.8        5.339681e-19        9.241056e-20         2.676649e-19
          18.9        5.165054e-19        8.794493e-20         2.570247e-19
          19.0        4.995359e-19        8.367594e-20         2.467623e-19
          19.1        4.830400e-19        7.959357e-20         2.368588e-19
          19.2        4.669859e-19        7.568549e-20         2.272911e-19
          19.3        4.513753e-19        7.194808e-20         2.180562e-19
          19.4        4.361682e-19        6.836753e-20         2.091281e-19
          19.5        4.214230e-19        6.495364e-20         2.005345e-19
          19.6        4.069373e-19        6.165614e-20         1.921558e-19
          19.7        3.928341e-19        5.850035e-20         1.840617e-19
          19.8        3.791916e-19        5.550011e-20         1.762913e-19
          19.9        3.659374e-19        5.263544e-20         1.688017e-19
          20.0        3.530900e-19        4.990675e-20         1.615983e-19
          20.1        6.361526e-19        8.834762e-20         2.888510e-19
          20.2        9.869268e-19        1.346598e-19         4.445727e-19
          20.3        1.396975e-18        1.872537e-19         6.242768e-19
          20.4        1.858277e-18        2.446784e-19         8.237747e-19
          20.5        2.363445e-18        3.056569e-19         1.039290e-18
