; Effective Area Spectral Curve for GOES-16 SUVI FM1
; This file contains the all the components used in the
; computation of the effective area(lam):
; EA(lam) = PM(lam) * SM(lam) * EntFilt(lam) * FW1(lam) * ...
;           FW2(lam) * QE(lam) * Geom_Area
; Degradation due to contamination is not included
;
; File Generated 24-Jan-2025
;-------------------------------------------------------
; Geometric Area = 19.362316 cm^2
; 
; Wavelength[A]  EA_Thin/Open[cm^2]  EA_Thin/Thin[cm^2]  EA_Thick/Open[cm^2]
          10.0        1.107534e-17        8.558816e-18         1.090663e-17
          10.1        1.106008e-17        8.539764e-18         1.088701e-17
          10.2        1.104318e-17        8.519238e-18         1.086560e-17
          10.3        1.102529e-17        8.497940e-18         1.084322e-17
          10.4        1.100617e-17        8.475555e-18         1.081956e-17
          10.5        1.098602e-17        8.452275e-18         1.079481e-17
          10.6        1.098600e-17        8.452262e-18         1.079479e-17
          10.7        1.096423e-17        8.427602e-18         1.076837e-17
          10.8        1.092016e-17        8.377759e-18         1.071488e-17
          10.9        1.089620e-17        8.351060e-18         1.068609e-17
          11.0        1.087197e-17        8.324241e-18         1.065705e-17
          11.1        1.086956e-17        8.322394e-18         1.065469e-17
          11.2        1.084422e-17        8.294598e-18         1.062450e-17
          11.3        1.079499e-17        8.239861e-18         1.056533e-17
          11.4        1.076781e-17        8.210342e-18         1.053314e-17
          11.5        1.074004e-17        8.180320e-18         1.050030e-17
          11.6        1.071159e-17        8.149677e-18         1.046673e-17
          11.7        1.068293e-17        8.118929e-18         1.043299e-17
          11.8        1.065335e-17        8.087242e-18         1.039819e-17
          11.9        1.062395e-17        8.055878e-18         1.036370e-17
          12.0        1.059405e-17        8.024031e-18         1.032866e-17
          12.1        1.056445e-17        7.992620e-18         1.029403e-17
          12.2        1.053402e-17        7.960351e-18         1.025845e-17
          12.3        1.050273e-17        7.927219e-18         1.022188e-17
          12.4        1.047098e-17        7.893637e-18         1.018480e-17
          12.5        1.043894e-17        7.859814e-18         1.014739e-17
          12.6        1.040635e-17        7.825449e-18         1.010940e-17
          12.7        1.037347e-17        7.790848e-18         1.007107e-17
          12.8        1.034018e-17        7.755848e-18         1.003229e-17
          12.9        1.030641e-17        7.720414e-18         9.993010e-18
          13.0        1.027227e-17        7.684613e-18         9.953315e-18
          13.1        1.026612e-17        7.680014e-18         9.947358e-18
          13.2        1.023175e-17        7.644071e-18         9.907399e-18
          13.3        1.016783e-17        7.575480e-18         9.832005e-18
          13.4        1.013260e-17        7.538783e-18         9.791174e-18
          13.5        1.009680e-17        7.501541e-18         9.749658e-18
          13.6        1.009037e-17        7.496761e-18         9.743446e-18
          13.7        1.005470e-17        7.459712e-18         9.702107e-18
          13.8        9.988437e-18        7.389045e-18         9.624124e-18
          13.9        9.951953e-18        7.351219e-18         9.581885e-18
          14.0        9.915318e-18        7.313253e-18         9.539467e-18
          14.1        9.878062e-18        7.274652e-18         9.496332e-18
          14.2        9.840777e-18        7.236131e-18         9.453224e-18
          14.3        9.803192e-18        7.197331e-18         9.409796e-18
          14.4        9.765200e-18        7.158177e-18         9.365949e-18
          14.5        9.726957e-18        7.118824e-18         9.321833e-18
          14.6        9.688463e-18        7.079273e-18         9.277449e-18
          14.7        9.649572e-18        7.039384e-18         9.232661e-18
          14.8        9.610638e-18        6.999502e-18         9.187892e-18
          14.9        9.571126e-18        6.959109e-18         9.142464e-18
          15.0        9.531246e-18        6.918382e-18         9.096665e-18
          15.1        9.491519e-18        6.877908e-18         9.051073e-18
          15.2        9.451041e-18        6.836710e-18         9.004666e-18
