; Gain Curve for GOES-18 SUVI FM3
; This file contains SUVI FM3 Gain as a function of Temperature (C)
;
; Source: GOES-18 SUVI LUT ("SUVI_CalibrationParameters(FM3A_CDRL79RevBv2_PR_14_00_01)-784348400.0.h5")
; File Generated 24-Jan-2025, by cb
;-------------------------------------------------------
; Temperature [C]	Gain [e- per DN]
  -82.169230769230694   35.811930697007718
  -81.223076923076860   35.854537453979972
  -80.276923076923026   35.897144210952227   
  -79.330769230769192   35.939750967924482
  -78.384615384615358   35.982357724896730
  -77.438461538461524   36.024964481868984
  -76.492307692307691   36.067571238841239
  -75.546153846153857   36.110177995813494
  -74.600000000000023   36.152784752785749
  -73.653846153846189   36.195391509758004
  -72.707692307692241   36.237998266730266
  -71.761538461538407   36.280605023702513
  -70.815384615384573   36.323211780674768
  -69.869230769230739   36.365818537647023
  -68.923076923076906   36.408425294619278
  -67.976923076923072   36.451032051591532
  -67.030769230769238   36.493638808563787
  -66.084615384615404   36.536245565536042
  -65.138461538461570   36.578852322508297
  -64.192307692307736   36.621459079480552
  -63.246153846153788   36.664065836452806
  -62.299999999999955   36.706672593425061
  -61.346153846153811   36.749625746795466
  -60.392307692307668   36.792578900165864
  -59.438461538461524   36.835532053536269
  -58.484615384615381   36.878485206906674
  -57.530769230769238   36.921438360277072
  -56.576923076923094   36.964391513647477
  -55.623076923076951   37.007344667017875
  -54.669230769230808   37.050297820388280
  -53.715384615384551   37.093250973758686
  -52.761538461538407   37.136204127129091
  -51.807692307692264   37.179157280499496
  -50.853846153846121   37.222110433869894
  -49.899999999999977   37.265063587240299
  -48.946153846153834   37.308016740610704
  -47.992307692307691   37.350969893981102
  -47.038461538461547   37.393923047351507
  -46.084615384615404   37.436876200721912
  -45.130769230769261   37.479829354092310
  -44.176923076923117   37.522782507462715
  -43.223076923076974   37.565735660833120
  -42.269230769230717   37.608688814203525
  -41.315384615384573   37.651641967573930
  -40.361538461538430   37.694595120944328
  -39.407692307692287   37.737548274314733
  -38.453846153846143   37.780501427685131
  -37.500000000000000   37.823454581055536
  -36.538461538461547   37.866754130824084
  -35.576923076922981   37.910053680592647
  -34.615384615384528   37.953353230361195
  -33.653846153846075   37.996652780129743
  -32.692307692307622   38.039952329898298
  -31.730769230769170   38.083251879666847
  -30.769230769230717   38.126551429435402
  -29.807692307692264   38.169850979203950
  -28.846153846153811   38.213150528972498
  -27.884615384615358   38.256450078741054
  -26.923076923076906   38.299749628509602
  -25.961538461538453   38.343049178278150
  -25.000000000000000   38.386348728046706
