; Effective Area Spectral Curve for GOES-16 SUVI FM1
; This file contains the all the components used in the
; computation of the effective area(lam):
; EA(lam) = PM(lam) * SM(lam) * EntFilt(lam) * FW1(lam) * ...
;           FW2(lam) * QE(lam) * Geom_Area
; Degradation due to contamination is not included
;
; File Generated 12-Apr-2019
;-------------------------------------------------------
; Geometric Area = 19.362316 cm^2
; EA_ThinOpen(131.2A) = 7.802481e-01 > 4.280000e-02
; Wavelength[A]	EA_Thin/Open[cm^2]	EA_Thin/Thin[cm^2]	EA_Thick/Open[cm^2]
20.5	2.3964E-18	3.17345E-19	5.19484E-20
20.6	2.9468E-18	3.83362E-19	6.33183E-20
20.7	3.5283E-18	4.50908E-19	7.51463E-20
20.8	4.1351E-18	5.19056E-19	8.72884E-20
20.9	4.7618E-18	5.87072E-19	9.96242E-20
21	5.4028E-18	6.54144E-19	1.12023E-19
21.1	6.0536E-18	7.19726E-19	1.24387E-19
21.2	6.7098E-18	7.83294E-19	1.36625E-19
21.3	7.3675E-18	8.44426E-19	1.48656E-19
21.4	8.0228E-18	9.02715E-19	1.60403E-19
21.5	8.6727E-18	9.57911E-19	1.71807E-19
21.6	9.3142E-18	1.00979E-18	1.82816E-19
21.7	9.9442E-18	1.05809E-18	1.93375E-19
21.8	1.0560E-17	1.10263E-18	2.03435E-19
21.9	1.1160E-17	1.14343E-18	2.12983E-19
22	1.1741E-17	1.18037E-18	2.21977E-19
22.1	1.2304E-17	1.21354E-18	2.30418E-19
22.2	1.2844E-17	1.24281E-18	2.38265E-19
22.3	1.3362E-17	1.26824E-18	2.45513E-19
22.4	1.3858E-17	1.29008E-18	2.52183E-19
22.5	1.4328E-17	1.30813E-18	2.5823E-19
22.6	1.4773E-17	1.32262E-18	2.63674E-19
22.7	1.5193E-17	1.33384E-18	2.68547E-19
22.8	1.5597E-17	1.34266E-18	2.73018E-19
22.9	1.7251E-17	1.50946E-18	3.03546E-19
23	1.7741E-17	1.52606E-18	3.09523E-19
23.1	1.8262E-17	1.54741E-18	3.16236E-19
23.2	1.8764E-17	1.56617E-18	3.22504E-19
23.3	1.9249E-17	1.5827E-18	3.28381E-19
23.4	1.9734E-17	1.59905E-18	3.34216E-19
23.5	2.0201E-17	1.61319E-18	3.39653E-19
23.6	2.0648E-17	1.62489E-18	3.44642E-19
23.7	2.1075E-17	1.63441E-18	3.49226E-19
23.8	2.1484E-17	1.64185E-18	3.53412E-19
23.9	2.1870E-17	1.6469E-18	3.57136E-19
24	2.2238E-17	1.65002E-18	3.60478E-19
24.1	2.2585E-17	1.65122E-18	3.63431E-19
24.2	2.2913E-17	1.65058E-18	3.66003E-19
24.3	2.3221E-17	1.64812E-18	3.68195E-19
24.4	2.3509E-17	1.64391E-18	3.70009E-19
24.5	2.3776E-17	1.63801E-18	3.71455E-19
24.6	2.4025E-17	1.63066E-18	3.72574E-19
24.7	2.4254E-17	1.62172E-18	3.73329E-19
24.8	2.4463E-17	1.61137E-18	3.73754E-19
24.9	2.4654E-17	1.59974E-18	3.73867E-19
25	2.4826E-17	1.58678E-18	3.73661E-19
25.1	3.2700E-17	2.05879E-18	4.88498E-19
25.2	4.1342E-17	2.5638E-18	6.1297E-19
25.3	7.7612E-17	4.74077E-18	1.14212E-18
25.4	1.6331E-16	9.82546E-18	2.38521E-18
25.5	2.7628E-16	1.63711E-17	4.00475E-18
25.6	5.5183E-16	3.2204E-17	7.93842E-18
25.7	9.0835E-16	5.22069E-17	1.29683E-17
25.8	1.8490E-15	1.04656E-16	2.61975E-17
25.9	3.8158E-15	2.12698E-16	5.36545E-17
26	6.3898E-15	3.50746E-16	8.91643E-17
26.1	2.0211E-14	1.09248E-15	2.79874E-16
26.2	4.0960E-14	2.1802E-15	5.62878E-16
26.3	1.9800E-13	1.03705E-14	2.69921E-15
26.4	7.4101E-13	3.81891E-14	1.00209E-14
26.5	1.5942E-12	8.08373E-14	2.13856E-14
26.6	1.5935E-10	7.9498E-12	2.12037E-12
26.7	5.5671E-10	2.73177E-11	7.34721E-12
26.8	5.4741E-10	2.64183E-11	7.16498E-12
26.9	1.5862E-10	7.52862E-12	2.05901E-12
27	4.6455E-12	2.16843E-13	5.98046E-14
27.1	2.4562E-12	1.12747E-13	3.13579E-14
27.2	9.9737E-13	4.50204E-14	1.26274E-14
27.3	4.2639E-13	1.89258E-14	5.35343E-15
27.4	2.6948E-13	1.17616E-14	3.35522E-15
27.5	1.5184E-13	6.51611E-15	1.87467E-15
27.6	1.1389E-13	4.8055E-15	1.39434E-15
27.7	8.2351E-14	3.41643E-15	9.99785E-16
27.8	6.2392E-14	2.54504E-15	7.51134E-16
27.9	5.0875E-14	2.04325E-15	6.07771E-16
28	4.0819E-14	1.61408E-15	4.83886E-16
28.1	3.5334E-14	1.37561E-15	4.15638E-16
28.2	3.0381E-14	1.16442E-15	3.54604E-16
28.3	2.6845E-14	1.01719E-15	3.1156E-16
28.4	2.4269E-14	9.09349E-16	2.80103E-16
28.5	2.1873E-14	8.10494E-16	2.5106E-16
28.6	2.0373E-14	7.46547E-16	2.32557E-16
28.7	1.8955E-14	6.86866E-16	2.15172E-16
28.8	1.7803E-14	6.37975E-16	2.00985E-16
28.9	1.6891E-14	5.9856E-16	1.89634E-16
29	1.6020E-14	5.61374E-16	1.78857E-16
29.1	1.5593E-14	5.40379E-16	1.73138E-16
29.2	1.5177E-14	5.20103E-16	1.67584E-16
29.3	1.4755E-14	5.00014E-16	1.62022E-16
29.4	1.4327E-14	4.80114E-16	1.56454E-16
29.5	1.3912E-14	4.61008E-16	1.51077E-16
29.6	1.3564E-14	4.44516E-16	1.46495E-16
29.7	1.3226E-14	4.28608E-16	1.4205E-16
29.8	1.3662E-14	4.37809E-16	1.45922E-16
29.9	1.4884E-14	4.71669E-16	1.58096E-16
30	1.6123E-14	5.05231E-16	1.70305E-16
30.1	1.6779E-14	5.19961E-16	1.76262E-16
30.2	1.7428E-14	5.34059E-16	1.82066E-16
30.3	1.7933E-14	5.43389E-16	1.86297E-16
30.4	1.8304E-14	5.48669E-16	1.89139E-16
30.5	1.8689E-14	5.54507E-16	1.92143E-16
30.6	1.9668E-14	5.77599E-16	2.01181E-16
30.7	2.0645E-14	6.00137E-16	2.10112E-16
30.8	2.1171E-14	6.09145E-16	2.14371E-16
30.9	2.1328E-14	6.0866E-16	2.15093E-16
31	2.1497E-14	6.08712E-16	2.15963E-16
31.1	2.5916E-14	7.28113E-16	2.5935E-16
31.2	3.0659E-14	8.54672E-16	3.05635E-16
31.3	4.1579E-14	1.1501E-15	4.12909E-16
31.4	6.1031E-14	1.67507E-15	6.03761E-16
31.5	8.3776E-14	2.28149E-15	8.25589E-16
31.6	7.2525E-14	1.95978E-15	7.11973E-16
31.7	6.2243E-14	1.66892E-15	6.08698E-16
31.8	5.9521E-14	1.5836E-15	5.79856E-16
31.9	6.3702E-14	1.68175E-15	6.18221E-16
32	6.7943E-14	1.77984E-15	6.56856E-16
32.1	8.7035E-14	2.26239E-15	8.38226E-16
32.2	1.0809E-13	2.78811E-15	1.03707E-15
32.3	1.3695E-13	3.50512E-15	1.3089E-15
32.4	1.7530E-13	4.45221E-15	1.66908E-15
32.5	2.1759E-13	5.48371E-15	2.06386E-15
32.6	3.5244E-13	8.81408E-15	3.33027E-15
32.7	5.1631E-13	1.28102E-14	4.85963E-15
32.8	9.6465E-13	2.36962E-14	9.03476E-15
32.9	1.9079E-12	4.64016E-14	1.7781E-14
33	3.1391E-12	7.55877E-14	2.91115E-14
33.1	1.6597E-11	3.95698E-13	1.53166E-13
33.2	3.9915E-11	9.40776E-13	3.66262E-13
33.3	1.0704E-10	2.48288E-12	9.74422E-13
33.4	2.5873E-10	5.90674E-12	2.33683E-12
33.5	4.6792E-10	1.0513E-11	4.19277E-12
33.6	1.9885E-10	4.39665E-12	1.76766E-12
33.7	4.6443E-11	1.01054E-12	4.09579E-13
33.8	8.1215E-12	1.739E-13	7.10548E-14
33.9	4.1897E-12	8.82808E-14	3.63642E-14
34	1.6125E-12	3.3433E-14	1.38838E-14
34.1	1.0590E-12	2.16057E-14	9.04532E-15
34.2	6.3352E-13	1.27179E-14	5.36796E-15
